nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,carta,carte,usocart,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,cartdeb,cartdeb1,fscoper1,DEPOSIT,NDEPOSIT
819156,,,,1,1,,,,,,2,,,2,,2,,800,2,,,,1,1
819168,2,,,1,1,2,,,,,2,,,1,1,2,,700,2,,,,1,1
819330,1,1,1,1,1,2,,,,,1,1,2,1,1,2,,1500,1,,,,1,1
819349,1,1,2,1,1,1,2,,,,1,2,2,1,1,2,,1000,1,,,,1,1
819350,1,1,1,2,2,2,,,,,2,,,1,3,2,,200,2,,,,1,4
819433,2,,,1,1,2,,,,,2,,,2,,2,,400,2,,,,1,3
819453,2,,,2,2,1,2,,,,1,1,2,1,1,2,,600,1,,,,1,3
819456,2,,,1,1,2,,,,,2,,,1,2,2,,800,2,,,,1,3
819465,2,,,2,2,2,,,,,1,1,2,1,2,2,,1000,1,,,,1,2
819511,2,,,1,1,1,2,,,,2,,,1,1,2,,500,2,,,,1,1
819517,2,,,2,2,1,2,,,,1,1,2,1,2,1,1,400,2,,,,1,2
819575,2,,,2,2,1,2,,,,1,1,2,1,3,2,,300,1,,,,1,2
819626,2,,,1,1,2,,,,,2,,,1,2,2,,1000,2,,,,1,3
819653,2,,,1,1,3,,,,,1,2,2,1,2,2,,1500,2,,,,1,2
819664,2,,,1,1,3,,,,,2,,,1,1,2,,600,2,,,,1,2
819693,2,,,1,1,3,,,,,1,1,2,1,1,2,,800,1,,,,1,1
819727,2,,,1,1,2,,,,,2,,,2,,2,,700,2,,,,1,1
819831,2,,,1,1,1,2,,,,2,,,2,,2,,2000,2,,,,1,1
819849,,,,1,1,,,,,,2,,,2,,2,,800,2,,,,1,1
819972,2,,,1,1,2,,,,,2,,,1,1,2,,1300,2,,,,1,1
820063,2,,,1,1,2,,,,,2,,,2,,2,,750,2,,,,1,1
820115,,,,,,,,,,,2,,,2,,2,,200,2,,,,2,0
820171,2,,,1,1,2,,,,,1,2,3,1,1,2,,1300,2,6000,,,1,1
820465,2,,,2,2,2,,,,,1,1,1,1,2,2,,3000,2,,,,1,3
820474,,,,,,,,,,,2,,,2,,2,,620,2,,,,2,0
820593,2,,,1,1,2,,,,,2,,,2,,2,,800,2,,,,1,1
820606,2,,,1,1,1,2,,,,1,2,2,1,2,2,,300,1,,,,1,1
820645,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
820675,2,,,1,1,2,,,,,2,,,1,1,2,,1600,2,,,,1,1
820697,2,,,1,1,2,,,,,1,1,2,1,2,2,,1200,2,,,,1,2
820707,2,,,1,1,2,,,,,2,,,1,2,2,,1000,2,,,,1,2
820718,2,,,1,1,2,,,,,2,,,1,1,2,,800,2,,,,1,1
820837,2,,,1,1,2,,,,,2,,,1,1,2,,1200,2,,,,1,1
820847,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
820966,2,,,1,1,1,2,,,,2,,,1,1,1,1,300,1,,,,1,2
821008,2,,,1,1,1,2,,,,1,1,2,1,1,1,1,400,1,,,,1,3
821020,2,,,1,1,1,2,,,,2,,,1,2,1,1,500,1,,,,1,2
821170,2,,,1,1,1,2,,,,1,1,2,1,1,2,,200,1,,,,1,1
821206,2,,,1,1,2,,,,,2,,,1,1,2,,500,2,,,,1,1
821350,2,,,2,2,1,2,,,,2,,,1,1,2,,500,2,,,,1,2
821387,2,,,1,1,1,2,,,,2,,,1,1,2,,500,2,,,,1,1
821489,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
821675,2,,,2,2,2,,,,,2,,,1,2,2,,500,2,,,,1,2
821692,2,,,1,1,1,2,,,,1,1,2,1,1,2,,250,2,,,,1,1
821713,1,1,1,1,1,2,,,,,2,,,1,1,2,,300,2,,,,1,1
821727,2,,,2,2,2,,,,,2,,,1,2,1,2,600,1,,,,1,4
821770,2,,,2,2,2,,,,,2,,,2,,2,,150,2,,,,1,2
821789,2,,,1,1,2,,,,,2,,,1,1,2,,250,2,,,,1,1
821841,2,,,1,1,2,,,,,2,,,1,1,1,1,700,2,,,,1,1
821844,2,,,1,1,2,,,,,2,,,1,1,2,,700,2,,,,1,1
821852,2,,,1,1,2,,,,,2,,,1,1,2,,800,2,,,,1,1
821854,2,,,1,1,2,,,,,2,,,1,1,2,,1300,2,,,,1,1
821998,2,,,1,1,2,,,,,2,,,2,,2,,700,2,,,,1,1
822019,2,,,1,1,2,,,,,1,1,2,1,2,2,,2000,2,,,,1,2
822033,1,1,2,1,1,1,2,,,,1,1,2,1,1,1,1,1200,1,,,,1,1
822123,1,1,1,1,1,2,,,,,1,1,2,1,2,2,,800,2,,,,1,2
822151,2,,,1,1,2,,,,,2,,,2,,2,,500,2,,,,1,1
822166,2,,,2,2,2,,,,,1,1,1,1,6,2,,300,2,,,,1,3
822191,2,,,1,1,1,2,,,,1,1,2,1,1,1,1,500,2,,,,1,1
822266,2,,,2,2,2,,,,,1,1,1,1,1,1,1,1000,2,,,,1,2
822398,2,,,2,2,2,,,,,1,1,1,1,1,2,,700,2,,,,1,2
822408,2,,,2,2,2,,,,,2,,,1,2,2,,600,2,,,,1,2
822419,2,,,1,1,3,,,,,2,,,1,1,2,,1400,2,,,,1,1
822497,2,,,1,1,2,,,,,1,1,2,1,1,1,2,300,1,,,,1,1
822530,2,,,2,2,2,,,,,2,,,1,2,2,,300,1,,,,1,2
822536,2,,,1,1,1,2,,,,2,,,1,1,2,,350,2,,,,1,1
822589,2,,,1,1,2,,,,,2,,,1,1,2,,500,2,,,,1,1
822614,2,,,1,1,2,,,,,1,1,2,1,2,2,,15000,2,,,,1,2
822678,2,,,1,1,2,,,,,2,,,1,1,2,,500,2,,,,1,1
822694,2,,,1,1,1,2,,,,1,1,1,1,1,2,,400,2,,,,1,1
822776,2,,,1,1,2,,,,,1,1,2,1,1,1,1,1000,1,,,,1,2
822826,2,,,1,1,2,,,,,2,,,1,2,1,1,150,1,,,,1,1
823046,2,,,1,1,1,2,,,,2,,,1,1,2,,1200,1,,,,1,1
823053,,,,1,1,,,,,,2,,,2,,2,,550,2,,,,1,1
823250,2,,,2,2,2,,,,,2,,,1,2,1,1,600,2,,,,1,2
823258,2,,,1,1,1,2,,,,2,,,1,3,1,2,1000,1,,,,1,3
823327,2,,,1,1,1,2,,,,1,1,3,1,1,2,,800,2,1500,,,1,1
823338,1,3,3,1,1,1,2,,,,1,3,2,1,3,1,1,1200,1,,,,1,3
823488,2,,,2,2,2,,,,,2,,,1,4,2,,1800,1,,,,1,5
823506,,,,,,,,,,,2,,,2,,2,,700,2,,,,2,0
823524,2,,,1,1,3,,,,,2,,,1,1,2,,1000,2,,,,1,1
823767,2,,,2,2,4,,,,,2,,,1,1,1,2,800,1,,,,1,2
823957,1,1,1,2,2,2,,,,,2,,,1,1,2,,1000,1,,,,1,3
823963,2,,,2,2,1,2,,,,1,1,2,1,2,1,2,1000,1,,,,1,2
823993,2,,,1,1,1,2,,,,1,1,1,1,1,2,,350,2,,,,1,1
824120,2,,,1,1,2,,,,,1,1,1,1,2,2,,500,2,,,,1,1
824236,2,,,1,1,2,,,,,2,,,1,1,2,,257,2,,,,1,1
824302,,,,1,1,,,,,,2,,,2,,2,,650,2,,,,1,1
824338,1,1,2,2,2,2,,,,,2,,,2,,2,,1200,2,,,,1,2
824345,2,,,1,1,1,2,,,,1,1,2,1,1,2,,300,1,,,,1,1
824574,,,,,,,,,,,2,,,2,,2,,350,2,,,,2,0
824637,2,,,1,1,2,,,,,2,,,2,,2,,700,2,,,,1,2
824663,2,,,1,1,2,,,,,2,,,1,1,2,,650,2,,,,1,1
824671,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
824695,2,,,1,1,2,,,,,2,,,2,,2,,400,2,,,,1,1
824718,2,,,1,1,2,,,,,2,,,1,1,2,,700,2,,,,1,1
824724,2,,,2,2,2,,,,,2,,,1,1,2,,1500,1,,,,1,2
824725,2,,,1,1,2,,,,,2,,,1,2,2,,1200,2,,,,1,2
824730,2,,,1,1,1,1,8,2000,500,2,,,1,1,2,,700,2,,,,1,1
824734,2,,,1,1,2,,,,,2,,,1,1,2,,1400,2,,,,1,1
824735,1,1,1,1,1,1,2,,,,1,1,2,1,1,1,1,1000,1,,,,1,1
824761,2,,,1,1,1,1,12,3000,3000,2,,,1,2,2,,700,2,,,,1,2
824808,2,,,1,1,2,,,,,1,2,2,1,2,2,,500,1,,,,1,1
824824,2,,,1,1,2,,,,,2,,,1,1,1,1,500,1,,,,1,2
824887,2,,,1,1,2,,,,,2,,,1,2,2,,1500,2,,,,1,2
824891,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
825078,1,1,1,2,3,2,,,,,1,1,2,1,2,1,1,1000,1,,,,1,2
825172,2,,,1,1,1,2,,,,2,,,1,1,2,,1000,2,,,,1,1
825184,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
825189,2,,,1,1,1,1,12,4000,3000,2,,,1,1,2,,400,2,,,,1,1
825849,,,,,,,,,,,2,,,2,,2,,1100,2,,,,2,0
825889,2,,,1,1,2,,,,,2,,,2,,2,,1600,2,,,,1,1
825977,2,,,1,1,2,,,,,2,,,1,2,1,1,1300,1,,,,1,2
826006,2,,,1,1,2,,,,,2,,,1,1,1,2,1000,2,,,,1,1
826115,2,,,2,2,1,2,,,,2,,,1,2,2,,500,2,,,,1,3
826118,2,,,2,2,1,2,,,,1,1,2,1,2,1,1,300,1,,,,1,2
826132,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
826234,2,,,1,1,3,,,,,1,1,2,1,1,2,,900,1,,,,1,1
826242,2,,,1,1,2,,,,,2,,,1,1,2,,300,2,,,,1,1
826248,2,,,1,1,1,2,,,,1,1,2,1,2,2,,2000,2,,,,1,1
826266,2,,,2,2,1,2,,,,2,,,1,2,2,,2000,1,,,,1,2
826307,1,1,1,2,2,2,,,,,2,,,2,,2,,1000,2,,,,1,2
826347,1,1,1,1,1,1,2,,,,2,,,2,,2,,800,1,,,,1,1
826362,2,,,1,1,2,,,,,2,,,2,,2,,1300,2,,,,1,1
826427,2,,,1,1,2,,,,,2,,,2,,2,,2600,2,,,,1,2
826456,2,,,2,2,2,,,,,1,1,2,1,2,2,,300,1,,,,1,2
826565,2,,,1,1,2,,,,,2,,,2,,2,,740,2,,,,1,1
826687,1,1,2,1,1,1,2,,,,1,1,2,2,,2,,600,2,,,,1,2
826744,2,,,2,2,2,,,,,1,1,2,1,2,2,,500,2,,,,1,3
826892,2,,,2,2,1,2,,,,1,1,2,1,2,2,,2000,2,,,,1,2
827006,2,,,1,1,2,,,,,2,,,1,1,2,,400,2,,,,1,1
827036,2,,,1,1,1,2,,,,2,,,1,1,2,,650,1,,,,1,1
827046,2,,,2,2,2,,,,,2,,,1,1,2,,600,2,,,,1,2
827146,2,,,1,1,2,,,,,2,,,1,1,2,,450,2,,,,1,1
827188,2,,,1,1,2,,,,,2,,,1,1,1,1,900,2,,,,1,1
827345,2,,,1,1,2,,,,,2,,,2,,2,,1000,2,,,,1,1
827369,2,,,1,1,2,,,,,1,1,2,1,1,2,,1000,2,,,,1,1
827386,2,,,1,1,2,,,,,2,,,2,,2,,560,2,,,,1,1
827398,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
827413,1,1,1,2,2,2,,,,,1,2,2,1,2,2,,600,1,,,,1,2
827447,2,,,1,1,3,,,,,2,,,2,,2,,150,2,,,,1,1
827457,2,,,1,1,2,,,,,1,1,2,1,2,1,1,200,1,,,,1,2
827486,,,,1,1,,,,,,2,,,1,1,2,,800,2,,,,1,1
827578,2,,,1,1,2,,,,,2,,,2,,2,,500,2,,,,1,1
827615,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
827639,2,,,2,2,2,,,,,2,,,1,2,2,,1000,2,,,,1,2
827647,2,,,2,2,2,,,,,1,1,2,1,1,2,,1000,1,,,,1,2
827847,2,,,1,1,2,,,,,2,,,1,1,2,,700,2,,,,1,1
827870,2,,,1,1,2,,,,,1,1,2,2,,2,,500,2,,,,1,1
827887,2,,,1,1,2,,,,,2,,,1,1,2,,970,2,,,,1,1
828121,,,,1,1,,,,,,2,,,2,,2,,750,2,,,,1,1
828184,,,,,,,,,,,2,,,2,,2,,650,2,,,,2,0
850013,2,,,2,2,1,1,10,4500,0,1,2,2,1,2,1,1,1000,1,,,,1,2
850016,2,,,2,3,1,2,,,,1,1,2,1,2,1,2,400,2,,,,1,3
850024,2,,,1,1,2,,,,,1,1,1,1,1,2,,300,2,,,,1,1
850030,2,,,2,2,1,2,,,,2,,,1,2,2,,50,1,,,,1,3
851025,,,,,,,,,,,2,,,2,,2,,900,2,,,,2,0
851107,2,,,1,1,2,,,,,2,,,1,1,2,,600,2,,,,1,1
851114,2,,,1,1,2,,,,,2,,,1,1,1,1,400,2,,,,1,1
851151,2,,,1,1,2,,,,,2,,,1,1,2,,1700,2,,,,1,1
851172,2,,,2,3,1,1,7,3000,0,1,1,2,1,2,2,,1000,1,,,,1,3
851176,1,2,2,1,1,1,2,,,,1,2,2,1,2,1,2,300,1,,,,1,2
851322,2,,,1,1,2,,,,,2,,,1,2,2,,1000,2,,,,1,1
851331,2,,,2,2,2,,,,,1,3,1,1,3,1,1,400,1,,,,1,2
851333,2,,,2,2,2,,,,,1,1,1,1,1,1,1,600,2,,,,1,2
851342,2,,,2,4,2,,,,,1,2,1,1,5,2,,500,1,,,,1,5
851393,2,,,2,2,2,,,,,2,,,1,2,2,,400,2,,,,1,2
851399,1,1,1,1,1,2,,,,,1,2,2,1,2,1,1,2000,1,,,,1,4
851448,,,,,,,,,,,2,,,2,,2,,700,2,,,,2,0
851493,1,1,2,1,1,1,2,,,,1,1,2,1,2,2,,2600,2,,,,1,1
851504,2,,,1,1,2,,,,,2,,,1,1,2,,1300,2,,,,1,1
851514,2,,,1,1,2,,,,,1,1,1,1,1,2,,1200,2,,,,1,1
851544,,,,,,,,,,,2,,,2,,2,,500,2,,,,2,0
851585,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
851627,2,,,1,1,2,,,,,2,,,2,,2,,1700,2,,,,1,1
851672,1,1,1,2,2,2,,,,,2,,,1,2,2,,800,2,,,,1,2
851693,,,,1,1,,,,,,2,,,2,,2,,350,2,,,,1,2
851699,2,,,1,1,1,1,6,1000,1000,1,1,3,2,,2,,900,2,2500,,,1,1
851703,2,,,1,1,2,,,,,2,,,1,1,2,,800,2,,,,1,1
851846,2,,,1,1,1,2,,,,2,,,1,1,2,,1000,2,,,,1,1
851865,2,,,1,1,1,2,,,,2,,,1,1,2,,1000,2,,,,1,1
851874,2,,,1,1,2,,,,,2,,,1,1,2,,800,2,,,,1,1
851903,1,1,1,1,1,2,,,,,2,,,1,1,1,1,1000,2,,,,1,1
851937,1,1,1,1,1,1,2,,,,1,1,2,1,2,2,,700,1,,,,1,1
851968,2,,,1,1,2,,,,,2,,,1,1,2,,1300,2,,,,1,1
851982,2,,,1,1,2,,,,,2,,,1,2,2,,600,2,,,,1,1
851989,2,,,2,2,2,,,,,2,,,1,1,2,,600,2,,,,1,2
852021,2,,,1,1,2,,,,,2,,,1,1,2,,600,2,,,,1,1
852030,2,,,1,1,1,2,,,,2,,,2,,2,,700,2,,,,1,2
852039,2,,,1,1,3,,,,,2,,,1,2,2,,250,2,,,,1,2
852058,2,,,2,2,1,2,,,,1,1,3,1,2,2,,400,1,700,,,1,2
852070,2,,,2,2,2,,,,,2,,,1,2,2,,900,1,,,,1,2
852073,2,,,1,1,2,,,,,2,,,1,1,2,,800,2,,,,1,1
852074,2,,,1,1,2,,,,,2,,,2,,2,,500,2,,,,1,2
852115,2,,,1,1,1,2,,,,1,1,1,1,1,1,1,1000,1,,,,1,2
852120,2,,,1,1,2,,,,,1,1,1,1,1,2,,1700,2,,,,1,1
852130,2,,,1,1,1,2,,,,1,1,1,1,2,2,,1000,2,,,,1,2
852133,2,,,1,1,2,,,,,1,1,2,1,1,2,,500,1,,,,1,1
852134,2,,,1,1,2,,,,,2,,,1,1,2,,500,2,,,,1,2
852140,2,,,2,2,2,,,,,2,,,1,2,2,,500,1,,,,1,3
852156,2,,,2,2,2,,,,,2,,,1,2,1,1,1000,2,,,,1,3
852173,2,,,2,2,1,2,,,,1,1,2,1,2,1,1,300,1,,,,1,2
852204,1,1,2,1,1,3,,,,,2,,,2,,2,,1100,2,,,,1,1
852232,2,,,2,2,2,,,,,1,1,1,1,1,2,,500,2,,,,1,2
852283,,,,,,,,,,,2,,,2,,2,,1000,2,,,,2,0
852304,2,,,1,1,2,,,,,2,,,1,1,2,,1200,2,,,,1,1
852321,2,,,1,1,2,,,,,2,,,1,2,2,,1200,2,,,,1,5
852330,2,,,1,1,2,,,,,2,,,2,,2,,500,2,,,,1,1
852332,,,,,,,,,,,2,,,2,,2,,800,2,,,,2,0
852364,2,,,1,1,4,,,,,2,,,2,,2,,500,2,,,,1,1
852377,2,,,1,1,1,2,,,,1,1,1,1,2,2,,900,1,,,,1,1
852387,2,,,1,1,2,,,,,2,,,1,1,2,,1500,2,,,,1,1
852399,2,,,1,1,4,,,,,1,1,1,2,,2,,450,2,,,,1,1
852400,,,,,,,,,,,2,,,2,,2,,500,2,,,,2,0
852465,2,,,1,1,1,2,,,,1,1,2,2,,2,,700,1,,,,1,1
852554,2,,,1,1,2,,,,,1,1,2,1,1,2,,160,1,,,,1,1
852573,2,,,1,1,2,,,,,2,,,1,1,2,,100,2,,,,1,1
852574,1,1,2,2,2,2,,,,,2,,,1,2,2,,750,2,,,,1,4
852595,2,,,1,1,3,,,,,2,,,1,1,2,,1000,2,,,,1,1
852658,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
852673,2,,,1,1,3,,,,,1,1,2,1,1,2,,500,2,,,,1,1
852681,2,,,1,1,2,,,,,2,,,1,1,2,,500,2,,,,1,1
852754,2,,,1,1,1,2,,,,1,1,2,1,2,1,1,1000,1,,,,1,1
852762,1,1,2,1,1,1,2,,,,1,3,2,2,,2,,1000,2,,,,1,2
852933,2,,,1,1,2,,,,,2,,,2,,2,,1000,2,,,,1,1
852951,2,,,1,1,2,,,,,1,1,2,1,1,2,,1200,2,,,,1,1
853021,,,,,,,,,,,2,,,2,,2,,1000,2,,,,2,0
853073,2,,,1,1,2,,,,,1,1,1,1,1,2,,1200,2,,,,1,2
853126,2,,,1,1,2,,,,,2,,,2,,2,,300,2,,,,1,1
853175,2,,,1,1,2,,,,,2,,,2,,2,,300,2,,,,1,1
853210,,,,,,,,,,,2,,,2,,2,,250,2,,,,2,0
853279,2,,,1,1,2,,,,,2,,,2,,2,,800,2,,,,1,1
853296,,,,,,,,,,,2,,,2,,2,,1000,2,,,,2,0
853318,2,,,1,1,2,,,,,2,,,2,,2,,1300,2,,,,1,1
853351,2,,,1,1,3,,,,,1,1,2,1,1,2,,1200,2,,,,1,2
853352,2,,,2,2,2,,,,,1,1,2,1,2,2,,1000,2,,,,1,2
853354,2,,,2,3,1,2,,,,1,1,2,1,3,1,1,600,1,,,,1,3
853416,1,1,1,2,3,1,2,,,,2,,,1,2,2,,50,2,,,,1,3
853565,2,,,1,1,2,,,,,1,1,2,1,1,2,,500,2,,,,1,1
853569,2,,,1,1,2,,,,,2,,,1,2,1,1,1600,2,,,,1,3
853617,2,,,2,2,2,,,,,1,2,1,1,2,2,,1500,2,,,,1,4
853765,2,,,1,1,1,1,2,300,0,1,2,2,1,1,2,,250,1,,,,1,1
853801,2,,,1,1,3,,,,,1,1,1,1,1,2,,700,2,,,,1,1
853821,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
853849,2,,,1,1,2,,,,,2,,,1,1,2,,650,2,,,,1,1
853854,2,,,1,1,2,,,,,2,,,1,1,2,,620,2,,,,1,1
853875,,,,1,1,,,,,,2,,,1,1,2,,1000,2,,,,1,1
853911,1,7,5,2,5,2,,,,,1,4,2,1,3,1,2,300,2,,,,1,10
853930,2,,,1,1,2,,,,,2,,,2,,2,,500,2,,,,1,2
854058,2,,,2,3,1,2,,,,1,2,2,1,3,1,2,1000,1,,,,1,3
854070,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,2
854074,1,1,2,2,2,2,,,,,2,,,1,2,2,,1100,2,,,,1,2
854078,,,,1,1,,,,,,2,,,2,,2,,550,2,,,,1,1
854081,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,2
854093,2,,,1,1,1,2,,,,1,1,2,1,4,1,1,1700,1,,,,1,3
854108,2,,,1,1,2,,,,,1,1,1,1,1,2,,1300,2,,,,1,1
854112,2,,,1,1,1,2,,,,1,1,2,1,1,2,,600,1,,,,1,1
854163,2,,,2,4,2,,,,,2,,,1,2,2,,500,2,,,,1,4
854188,2,,,1,1,2,,,,,2,,,2,,2,,800,2,,,,1,1
854197,2,,,1,1,2,,,,,2,,,2,,2,,900,2,,,,1,1
854202,2,,,1,1,2,,,,,2,,,1,1,2,,1100,2,,,,1,1
854223,2,,,1,1,2,,,,,2,,,1,1,2,,1200,2,,,,1,1
854306,1,1,2,2,2,1,2,,,,1,1,2,1,2,1,1,700,1,,,,1,2
854346,2,,,2,2,2,,,,,2,,,1,1,2,,900,2,,,,1,3
854352,,,,,,,,,,,2,,,2,,2,,670,2,,,,2,0
854385,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,2
854393,2,,,1,1,2,,,,,2,,,1,1,2,,900,2,,,,1,2
854406,2,,,1,1,3,,,,,2,,,1,1,2,,1000,2,,,,1,1
854414,1,1,1,2,2,2,,,,,1,2,2,1,2,1,1,800,1,,,,1,3
854428,2,,,2,2,1,2,,,,2,,,1,2,2,,800,1,,,,1,3
854435,2,,,1,1,1,1,3,200,100,2,,,1,2,1,1,1000,1,,,,1,2
854460,2,,,2,2,2,,,,,1,1,1,1,1,2,,250,2,,,,1,2
854501,2,,,1,1,2,,,,,2,,,1,1,2,,700,2,,,,1,1
854534,2,,,1,1,2,,,,,2,,,1,2,2,,1300,2,,,,1,1
854535,2,,,1,1,2,,,,,2,,,1,1,2,,900,2,,,,1,1
854554,2,,,1,1,3,,,,,2,,,1,1,2,,700,2,,,,1,1
854559,2,,,1,1,2,,,,,2,,,1,1,2,,1200,2,,,,1,1
854592,,,,,,,,,,,2,,,2,,2,,600,2,,,,2,0
854593,,,,,,,,,,,2,,,2,,2,,600,2,,,,2,0
854601,2,,,1,1,2,,,,,2,,,1,1,2,,1100,2,,,,1,1
854611,2,,,1,1,2,,,,,2,,,1,1,2,,1200,2,,,,1,1
854617,2,,,1,1,2,,,,,2,,,2,,2,,1000,2,,,,1,2
854621,2,,,1,1,2,,,,,2,,,1,1,2,,1600,2,,,,1,2
854624,2,,,1,1,2,,,,,2,,,1,1,2,,1185,2,,,,1,2
854626,2,,,1,1,2,,,,,2,,,1,1,2,,900,2,,,,1,1
854631,,,,,,,,,,,2,,,2,,2,,790,2,,,,2,0
854714,2,,,1,1,2,,,,,2,,,2,,2,,1000,2,,,,1,1
854730,2,,,1,1,2,,,,,2,,,2,,2,,1900,2,,,,1,1
854762,2,,,1,1,2,,,,,1,1,2,1,1,2,,1500,2,,,,1,1
854801,1,1,1,1,1,2,,,,,2,,,1,1,1,1,1500,1,,,,1,2
854858,2,,,1,1,2,,,,,2,,,1,2,2,,800,2,,,,1,2
854862,2,,,2,2,2,,,,,2,,,1,1,1,1,400,1,,,,1,3
854958,2,,,1,1,2,,,,,2,,,1,1,2,,1500,2,,,,1,1
854970,2,,,1,1,2,,,,,2,,,2,,2,,400,2,,,,1,1
855004,1,1,1,2,2,2,,,,,1,1,2,1,1,1,1,100,2,,,,1,1
855035,2,,,2,3,2,,,,,1,2,2,1,2,2,,1000,2,,,,1,4
855088,2,,,1,1,2,,,,,2,,,1,1,2,,200,2,,,,1,1
855111,2,,,1,1,1,2,,,,1,2,2,1,2,2,,2000,1,,,,1,1
855135,2,,,1,1,2,,,,,2,,,1,3,2,,2000,2,,,,1,6
855181,2,,,2,2,2,,,,,1,1,2,1,1,2,,500,1,,,,1,2
855221,2,,,1,1,2,,,,,2,,,1,2,2,,1200,2,,,,1,1
855238,2,,,2,2,2,,,,,2,,,1,2,2,,400,2,,,,1,3
855259,1,2,2,1,1,1,2,,,,1,2,2,1,2,1,1,800,1,,,,1,2
855268,2,,,1,1,2,,,,,2,,,2,,1,1,1000,2,,,,1,1
855295,2,,,1,1,2,,,,,2,,,1,1,2,,200,2,,,,1,1
855308,2,,,1,1,1,2,,,,1,1,2,1,2,1,1,400,1,,,,1,3
855344,2,,,2,2,3,,,,,2,,,1,2,2,,600,1,,,,1,2
855371,2,,,1,1,3,,,,,2,,,1,2,2,,800,2,,,,1,2
855376,2,,,1,1,1,2,,,,1,1,1,1,3,2,,2000,2,,,,1,3
855396,2,,,1,1,2,,,,,2,,,1,3,1,1,600,1,,,,1,3
855402,2,,,1,1,1,2,,,,2,,,1,2,1,1,1500,2,,,,1,1
855417,,,,,,,,,,,2,,,2,,1,1,1000,2,,,,2,0
855468,2,,,1,1,2,,,,,1,1,2,1,1,2,,300,2,,,,1,1
855534,2,,,1,1,2,,,,,2,,,2,,2,,1200,2,,,,1,1
855636,2,,,1,1,2,,,,,2,,,1,1,2,,300,2,,,,1,1
855637,2,,,1,1,2,,,,,2,,,1,1,2,,800,2,,,,1,1
855638,2,,,1,1,2,,,,,2,,,1,1,2,,400,2,,,,1,1
855639,2,,,1,1,2,,,,,2,,,1,1,2,,700,2,,,,1,1
855681,2,,,2,2,2,,,,,2,,,1,2,2,,700,1,,,,1,3
855685,2,,,1,1,2,,,,,2,,,1,1,2,,700,2,,,,1,1
855752,2,,,2,2,1,2,,,,1,2,1,1,2,1,1,1600,1,,,,1,2
855780,2,,,2,2,2,,,,,2,,,1,2,2,,800,2,,,,1,2
855790,1,1,2,1,1,2,,,,,1,2,1,1,2,2,,300,1,,,,1,1
855792,2,,,1,1,1,2,,,,2,,,1,2,2,,1000,2,,,,1,1
855809,,,,1,1,,,,,,2,,,2,,2,,900,2,,,,1,1
855839,2,,,1,1,2,,,,,1,1,2,1,1,1,1,1000,1,,,,1,1
855846,2,,,2,2,1,1,12,1700,2285,2,,,1,1,2,,1000,2,,,,1,2
855877,2,,,1,1,2,,,,,2,,,1,1,2,,400,2,,,,1,1
855991,1,1,1,2,2,2,,,,,2,,,1,2,1,1,400,2,,,,1,2
856073,2,,,1,1,2,,,,,1,1,2,1,1,2,,600,2,,,,1,1
856128,2,,,2,2,2,,,,,2,,,1,1,2,,500,2,,,,1,2
856134,2,,,1,1,1,1,12,5000,5000,2,,,1,1,2,,350,2,,,,1,1
856150,2,,,2,2,2,,,,,2,,,1,1,2,,1500,2,,,,1,2
856176,2,,,2,3,2,,,,,1,2,3,1,2,1,2,1500,1,1300,,,1,4
856177,,,,1,1,,,,,,2,,,2,,2,,500,2,,,,1,2
856218,2,,,2,3,1,2,,,,1,1,2,1,2,1,1,1000,1,,,,1,4
856236,1,1,1,1,1,1,1,12,3000,0,1,2,2,1,5,1,3,1000,1,,,,1,5
856297,1,2,1,2,4,2,,,,,1,4,2,1,4,1,1,1000,1,,,,1,5
856322,,,,1,1,,,,,,2,,,2,,2,,600,2,,,,1,2
856327,2,,,1,1,2,,,,,1,1,1,1,1,2,,400,2,,,,1,1
856328,2,,,1,1,1,2,,,,1,1,2,1,1,2,,500,2,,,,1,1
856363,2,,,1,1,2,,,,,2,,,1,2,2,,1000,2,,,,1,2
856365,2,,,2,2,1,2,,,,1,2,2,1,2,1,1,400,1,,,,1,4
856374,2,,,1,1,1,2,,,,2,,,1,1,2,,500,2,,,,1,1
