nquest,quest,nquestp,ncomp,vitgen,ngen,figli,nfigli,parnoit,anconv,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,contint,CAPI
710440,3,,3,1,4,2,,,1999,2,1,2,1,2,1,2,1,1,1
710507,3,,3,1,1,1,1,,1984,2,1,2,1,4,1,4,1,1,1
710556,3,,1,1,2,1,1,2,,2,1,2,1,,,,,1,1
710606,3,,2,2,,1,1,,,1,1,1,1,,,,,2,1
710905,3,,1,2,,1,5,,,1,1,1,1,,,,,1,1
711014,3,,2,2,,1,2,,1983,2,1,2,1,2,1,2,1,1,1
711022,3,,2,2,,1,1,2,,2,1,2,,,,,,1,1
711153,3,,2,2,,2,,2,,2,1,2,1,,,,,1,1
711312,3,,4,1,2,2,,,1988,2,1,2,1,2,1,1,1,2,0
711467,3,,3,1,1,2,,,1993,2,1,2,1,2,1,2,1,1,1
711611,3,,1,2,,2,,,,1,1,2,1,,,,,1,0
711645,3,,2,2,,1,2,,1964,2,1,2,1,2,1,2,1,2,1
711660,3,,2,2,,1,1,,1974,2,1,2,1,2,1,2,1,2,1
712022,3,,1,2,,1,2,,,2,1,2,1,,,,,1,1
712141,3,,2,2,,1,2,,1972,2,1,7,1,7,1,7,1,2,1
712148,3,,2,1,1,1,2,,1975,2,1,2,1,2,1,2,1,1,1
712219,3,,2,2,,1,3,,1960,2,1,2,1,2,1,2,1,2,1
712236,3,,1,2,,1,5,,,2,1,2,1,,,,,2,1
712244,3,,1,1,1,1,2,,,2,1,2,1,,,,,1,0
712610,3,,1,2,,1,4,,,1,1,1,1,,,,,2,1
712723,3,,1,2,,1,3,,,1,1,1,1,,,,,1,1
712823,3,,4,1,3,2,,,1998,3,1,3,1,3,1,3,1,3,1
712869,3,,3,2,,2,,2,,4,1,4,1,,,,,2,1
712878,3,,2,2,,2,,,1981,5,1,4,1,4,1,1,1,2,1
712910,3,,2,2,,1,1,,,2,1,2,1,,,,,2,1
713044,3,,2,2,,2,,,,1,1,1,1,,,,,1,1
713134,3,,2,2,,1,2,,1965,2,1,1,1,1,1,2,1,1,1
713247,3,,1,1,1,1,3,,,1,1,1,1,,,,,2,1
713303,3,,2,2,,2,,,1997,2,1,2,1,2,1,2,1,2,1
713319,3,,5,2,,1,1,,1972,2,1,2,1,2,1,1,1,3,1
713328,3,,1,2,,1,2,,,7,1,1,1,,,,,1,1
713359,3,,1,1,2,1,1,2,,3,1,3,1,,,,,1,0
713400,3,,2,2,,1,3,,1970,2,1,1,1,2,1,2,1,2,1
713700,3,,4,1,4,2,,,2005,4,1,4,1,5,1,5,1,2,1
713802,3,,1,2,,1,2,,,2,1,1,1,,,,,1,0
713811,3,,2,1,1,1,1,,1983,7,1,1,1,2,1,1,1,2,1
713837,3,,3,1,1,1,1,,1982,2,1,2,1,7,1,7,1,3,1
713844,3,,1,1,1,1,1,2,,2,1,2,1,,,,,1,1
713851,3,,4,1,4,2,,,1997,3,1,3,1,3,1,7,1,2,1
713854,3,,1,1,1,2,,2,,4,1,3,1,,,,,2,1
713873,3,,2,1,2,2,,,1989,4,1,3,1,7,1,7,1,2,1
714021,3,,3,1,2,2,,,1989,2,1,2,1,2,1,2,1,1,1
714029,3,,1,1,2,2,,2,,2,2,2,2,,,,,1,1
714238,3,,3,,,2,,2,,4,,5,,,,,,1,1
714416,3,,1,2,,2,,2,,2,1,1,1,,,,,2,1
714430,3,,2,2,,1,3,,1967,1,1,1,1,1,1,1,1,2,1
714437,3,,4,2,,1,2,,1976,1,1,1,1,1,1,1,1,3,1
714538,3,,4,1,4,2,,,2001,4,1,4,1,2,1,2,1,1,0
714622,3,,2,2,,1,3,,1960,7,1,7,1,7,3,7,1,2,1
714734,3,,3,2,,2,,2,,2,1,2,1,,,,,1,1
714811,3,,2,1,3,2,,,2014,2,2,1,2,2,2,2,2,1,1
714820,3,,1,2,,1,1,,,1,1,1,1,,,,,2,1
714828,3,,2,2,,1,2,,1969,2,1,2,1,2,1,1,1,1,1
714833,3,,1,1,2,2,,2,,2,2,2,2,,,,,2,1
714854,3,,1,1,1,1,4,1,,1,2,1,2,,,,,1,1
715014,3,,3,1,1,2,,2,,2,1,2,1,,,,,1,1
715065,3,,3,1,2,2,,,1989,3,1,3,1,3,1,3,1,2,1
715469,3,,2,2,,1,2,,1984,3,1,3,1,3,1,3,1,2,1
715499,3,,1,2,,1,1,2,,3,1,3,1,,,,,2,1
715500,3,,1,2,,1,1,2,,7,1,7,1,,,,,1,0
715572,3,,1,1,2,1,1,2,,3,1,2,1,,,,,1,1
715782,3,,2,2,,2,,,,1,1,1,1,,,,,1,1
715821,3,,2,1,1,1,1,,1970,2,1,2,1,2,1,2,1,2,1
715847,3,,2,2,,2,,,1962,2,1,2,1,2,1,2,1,2,1
715865,3,,2,2,,2,,2,,5,1,4,,,,,,3,1
715872,3,,1,2,,2,,2,,2,1,2,1,,,,,3,1
715879,3,,2,1,4,2,,,2000,4,1,3,1,4,1,4,1,2,1
715880,3,,1,1,1,2,,2,,4,1,3,1,,,,,2,1
716023,3,,4,2,,2,,,1978,1,1,2,1,3,1,2,1,2,1
716105,3,,1,2,,1,3,2,,2,1,2,1,,,,,3,1
716204,3,,3,2,,1,2,,1971,2,1,2,1,2,1,2,1,2,1
716305,3,,5,1,1,2,,,1997,1,2,1,2,1,2,1,2,1,1
716500,3,,5,1,2,2,,,1993,6,1,2,1,2,1,2,1,1,1
716507,3,,4,1,3,2,,,2002,4,1,4,1,2,1,2,1,1,1
716512,3,,3,1,3,2,,,1992,2,1,2,1,3,1,2,1,1,1
716834,3,,3,2,,1,3,,1951,2,1,2,1,1,1,1,1,1,1
716849,3,,4,1,2,2,,,1983,1,1,1,1,1,1,1,1,1,1
716908,3,,3,1,1,2,,,1973,2,1,2,1,2,1,2,1,2,1
716937,3,,4,1,2,2,,,1985,2,1,2,1,2,1,2,1,2,1
717014,3,,3,1,3,2,,,1989,4,1,3,1,3,1,3,1,2,1
717242,3,,5,2,,2,,,1991,2,1,2,1,2,1,2,1,2,1
717311,3,,3,1,4,2,,,2010,3,1,2,1,3,1,3,1,1,1
717312,3,,6,1,1,1,1,,1980,2,1,2,1,2,1,2,1,1,1
717316,3,,3,2,,1,1,,1987,2,1,2,1,2,1,2,1,2,1
717317,3,,6,2,,2,,,1990,2,1,1,1,2,1,1,1,2,1
717331,3,,2,1,1,1,2,,1970,2,1,2,1,2,1,2,1,2,1
717409,3,,4,1,1,2,,,1989,2,1,3,1,3,1,3,1,2,1
717414,3,,5,1,2,2,,,1999,2,1,1,1,2,1,2,1,2,1
717605,3,,3,1,2,2,,,1994,3,2,2,2,3,2,3,2,1,1
717669,3,,5,1,3,2,,,1999,1,2,1,2,2,2,1,2,2,1
717801,3,,4,1,1,2,,,1983,2,1,2,1,2,1,2,1,1,1
717804,3,,2,1,3,2,,,1986,2,1,2,1,2,1,2,1,1,1
717809,3,,4,1,3,2,,,1990,2,1,2,1,2,1,2,1,1,1
717834,3,,1,2,,1,1,,,2,1,2,1,,,,,1,1
717858,3,,4,1,2,2,,,2003,3,1,3,1,2,1,2,1,2,1
717871,3,,1,2,,1,3,,,1,1,1,1,,,,,1,1
717885,3,,3,1,1,2,,,2006,2,1,2,1,2,1,2,1,1,1
717900,3,,4,1,4,2,,,2006,4,1,4,1,4,1,4,1,3,1
718006,3,,1,1,1,2,,2,,3,1,3,1,,,,,1,1
718115,3,,3,2,,2,,,1976,2,1,2,1,2,1,2,1,3,1
718506,3,,2,2,,1,2,,1964,2,1,2,1,3,1,3,1,1,1
718600,3,,4,1,4,2,,,1998,2,1,2,1,3,1,4,1,1,1
718624,3,,3,1,1,2,,,2000,2,1,2,1,7,3,7,1,1,1
718674,3,,3,2,,1,2,,1980,5,1,3,1,2,1,3,1,2,1
718764,3,,4,1,1,2,,,1984,2,1,2,1,4,1,4,1,2,1
718772,3,,3,2,,1,2,,,3,1,2,1,,,,,1,1
718832,3,,2,2,,1,2,,1975,2,1,3,1,2,1,2,1,2,1
719025,3,,2,1,2,2,,,1997,2,1,2,1,2,1,2,1,2,1
719334,3,,4,1,2,2,,2,,2,1,2,1,,,,,2,1
719358,3,,1,2,,1,1,,,2,1,2,1,,,,,2,1
719528,3,,1,2,,2,,2,,1,2,1,2,,,,,1,1
719571,3,,4,1,2,2,,,1989,5,1,3,1,4,1,2,1,1,1
719606,3,,1,2,,1,1,2,,2,1,1,1,,,,,1,1
719611,3,,3,2,,1,1,,1970,7,1,1,1,7,1,7,1,1,1
719613,3,,1,1,2,2,,2,,4,1,4,1,,,,,1,1
719615,3,,4,2,,1,2,,1958,2,1,2,1,1,1,1,1,1,1
719656,3,,5,1,4,1,1,,1984,2,1,2,1,2,1,2,1,1,1
719666,3,,1,2,,2,,2,,1,1,1,1,,,,,1,1
719763,3,,4,,,2,,2,,4,,4,,,,,,3,1
719801,3,,3,2,,2,,2,,3,1,2,,,,,,1,1
719810,3,,3,1,2,1,1,,1980,2,1,2,1,3,1,2,1,2,1
719840,3,,4,2,,2,,,2000,2,1,2,1,2,1,1,1,2,1
719940,3,,1,3,,2,,2,,7,1,7,1,,,,,1,1
719963,3,,5,2,,2,,,1989,2,1,2,1,3,1,2,1,1,1
720009,3,,2,2,,1,3,,1962,1,1,1,1,1,1,1,1,1,1
720110,3,,2,1,1,1,2,,1978,2,1,2,1,2,1,2,1,3,1
720117,3,,4,1,4,2,,,1998,5,1,4,1,5,1,4,1,2,1
720138,3,,4,1,3,2,,,1991,2,1,2,1,2,1,2,1,1,1
720139,3,,3,2,,1,2,,1971,2,1,2,1,7,1,7,1,3,1
720157,3,,2,2,,1,2,,1970,7,1,7,1,7,1,7,1,3,1
720161,3,,2,2,,1,2,,,2,1,2,1,,,,,2,1
720163,3,,3,2,,2,,2,,7,1,7,1,,,,,2,1
720209,3,,4,1,3,1,1,,1977,1,1,1,1,1,1,1,1,2,1
720256,3,,4,1,3,2,,,1997,3,1,2,1,2,1,3,1,2,1
720312,3,,3,1,3,2,,,1991,2,1,2,1,2,1,2,1,1,1
720416,3,,2,1,2,1,3,,1974,1,1,2,1,2,1,1,1,1,1
720566,3,,6,1,2,2,,,1993,2,1,2,1,2,1,2,1,1,1
720603,3,,5,1,4,2,,,2008,2,1,2,1,2,1,2,1,1,1
720634,3,,3,2,,1,1,,1984,2,1,2,1,7,1,7,1,1,1
720784,3,,1,2,,1,3,,,2,1,2,1,,,,,1,1
720883,3,,3,1,3,2,,,2006,3,1,3,1,3,1,3,1,1,1
720889,3,,3,2,,1,4,,1955,1,1,1,1,1,1,1,1,1,1
721201,3,,4,1,4,2,,,2000,3,1,3,1,3,1,3,1,4,1
721521,3,,4,1,1,2,,,1991,1,1,1,1,2,1,2,1,2,1
721548,3,,2,1,1,2,,,1991,4,1,4,1,2,1,2,1,2,1
721631,3,,1,2,,1,1,,,2,1,2,1,,,,,1,1
721717,3,,4,2,,2,,,1996,5,1,4,1,5,1,4,1,1,1
721747,3,,2,2,,1,2,,1970,2,1,2,1,2,1,2,1,2,1
721777,3,,4,1,2,2,,,1983,2,1,1,1,2,1,3,1,2,1
721843,3,,2,2,,1,1,,1973,2,1,2,1,2,1,2,1,1,1
721862,3,,2,2,,1,2,,1966,1,1,2,1,2,1,1,1,1,1
721871,3,,3,1,1,1,1,,1987,3,1,2,1,3,1,2,1,2,1
722116,3,,2,1,1,1,3,2,,2,2,2,2,,,,,1,1
722139,3,,1,2,,1,1,2,,7,3,1,1,,,,,2,1
722141,3,,4,1,3,2,,,1996,1,2,1,2,1,2,1,2,2,1
722259,3,,2,2,,1,2,,1966,1,1,1,1,1,1,1,1,1,1
722310,3,,2,1,1,1,2,,1972,3,1,3,1,2,1,2,1,2,1
722324,3,,1,2,,1,2,,,2,1,2,1,,,,,2,1
722331,3,,2,2,,1,2,,1969,3,1,2,1,4,1,2,1,1,1
722353,3,,3,2,,1,1,,1971,4,1,4,1,4,1,2,1,2,1
722365,3,,3,1,2,2,,,1986,2,1,3,1,3,1,3,1,2,1
722378,3,,2,1,1,1,1,,1974,3,1,2,1,3,1,2,1,1,1
722447,3,,4,1,2,2,,,2001,1,1,1,1,1,1,1,1,1,1
722518,3,,4,1,3,2,,,2002,2,1,2,1,3,1,2,1,1,1
722601,3,,3,1,3,2,,,1994,1,1,1,1,1,1,1,1,2,1
722608,3,,3,1,2,2,,,2003,2,1,3,1,2,1,2,1,1,1
722720,3,,2,1,1,2,,,1975,4,1,3,1,4,1,4,1,1,1
722743,3,,3,1,1,1,2,,1984,2,1,2,1,2,1,2,1,1,1
722875,3,,2,1,3,2,,,2014,3,1,2,1,3,1,2,1,3,1
723200,3,,2,2,,1,6,,1964,1,1,1,1,1,1,1,1,4,1
723207,3,,3,1,4,2,,,1993,2,1,1,1,1,1,1,1,3,1
723480,3,,1,2,,2,,2,,3,1,2,1,,,,,2,1
723504,3,,4,1,3,2,,,1999,3,1,4,1,2,1,2,1,1,1
723507,3,,2,2,,1,2,,1958,2,1,2,1,2,1,2,1,1,1
723536,3,,2,2,,2,,,2000,2,1,2,1,2,2,2,2,2,1
723629,3,,1,2,,2,,2,,5,2,4,2,,,,,1,0
723666,3,,2,2,,1,3,,1979,4,1,4,1,4,1,3,1,2,1
723986,3,,2,2,,1,1,,1964,2,1,2,1,7,1,7,1,2,0
724042,3,,1,2,,1,1,,,2,1,2,1,,,,,1,1
724103,3,,1,2,,2,,,,1,1,1,1,,,,,1,1
724132,3,,3,1,1,2,,2,,2,1,1,1,,,,,1,1
724209,3,,5,1,3,2,,,1989,2,1,1,1,2,1,2,1,2,1
724211,3,,1,2,,1,2,,,1,1,1,1,,,,,1,1
724213,3,,1,1,2,2,,2,,2,1,2,1,,,,,1,1
724307,3,,3,2,,2,,,1972,1,1,1,1,1,1,1,1,1,1
724353,3,,1,1,2,2,,2,,3,1,3,1,,,,,1,1
724509,3,,2,2,,1,1,,1975,2,1,2,1,2,1,2,1,1,1
724523,3,,1,2,,2,,2,,5,1,4,1,,,,,1,1
724543,3,,4,2,,2,,,1980,3,1,2,1,2,1,2,1,3,1
724635,3,,2,1,2,2,,2,,4,1,3,1,,,,,2,1
724636,3,,2,2,,1,2,,1965,1,1,1,1,1,1,1,1,1,1
724708,3,,7,1,1,2,,,1999,3,2,3,2,3,2,3,2,3,1
724818,3,,2,1,4,2,,,2013,2,1,2,1,2,1,2,1,2,1
724899,3,,3,2,,2,,,1998,4,1,4,1,4,1,4,1,4,1
724926,3,,4,1,3,2,,,1993,2,1,2,1,4,1,4,1,1,1
725236,3,,1,2,,2,,2,,2,1,2,1,,,,,6,0
725509,3,,2,2,,1,2,,1962,2,1,1,1,1,1,1,1,2,1
725619,3,,4,1,4,2,,,2003,3,1,3,1,4,1,3,1,3,1
725701,3,,1,2,,2,,2,,2,1,2,1,,,,,2,1
725716,3,,4,1,2,2,,,1996,2,1,2,1,2,1,2,1,1,1
725726,3,,1,2,,1,4,2,,2,1,2,1,,,,,1,1
725801,3,,2,1,2,2,,,1993,3,1,2,1,3,1,7,1,1,1
725902,3,,4,1,3,1,1,,1985,1,1,2,1,2,1,1,1,5,1
726146,3,,2,1,1,2,,2,,1,,1,1,,,,,1,1
726234,3,,3,1,1,1,1,,1976,2,1,2,1,7,3,7,3,3,1
726553,3,,4,1,3,2,,,1990,3,1,2,1,2,1,2,1,3,1
726563,3,,2,2,,1,2,,1960,1,1,1,1,1,1,1,1,1,1
726568,3,,3,1,2,1,1,,1978,2,1,2,1,2,1,2,1,2,0
726811,3,,1,2,,1,1,,,1,1,1,1,,,,,1,1
726823,3,,1,2,,2,,,,1,1,1,1,,,,,2,1
726906,3,,4,1,2,2,,,1984,2,1,2,1,2,1,2,1,1,1
726932,3,,1,2,,1,2,,,7,1,7,1,,,,,1,1
727001,3,,3,1,4,2,,,1996,2,1,2,1,2,1,2,1,3,1
727009,3,,1,2,,1,1,,,2,1,2,1,,,,,2,1
727039,3,,4,1,4,2,,,2002,3,1,3,1,5,1,3,1,3,1
727138,3,,2,2,,2,,,2000,2,1,2,1,2,1,2,1,1,1
727160,3,,2,1,1,1,1,,1977,3,1,2,1,2,1,2,1,2,1
727170,3,,5,1,2,2,,,1996,2,1,2,1,3,1,2,1,1,1
727171,3,,1,2,,1,2,2,,3,1,2,1,,,,,1,1
727267,3,,1,1,2,1,1,,,2,1,2,1,,,,,2,1
727318,3,,1,2,,1,1,,,1,1,1,1,,,,,1,1
727402,3,,2,2,,1,3,,1971,7,1,7,1,7,1,7,1,1,1
727473,3,,4,2,,2,,,1970,1,1,1,1,1,1,1,1,1,1
727477,3,,5,1,3,2,,,1994,1,1,1,1,1,1,1,1,1,1
727520,3,,1,2,,2,,2,,2,1,1,1,,,,,1,1
727537,3,,2,2,,1,3,,1960,3,1,2,1,1,1,1,1,2,1
727604,3,,2,2,,1,3,,1969,1,1,1,1,1,1,1,1,1,1
727650,3,,2,2,,1,1,,,1,1,1,1,,,,,1,1
727825,3,,4,1,2,1,2,,1983,2,1,2,1,2,1,2,1,2,1
727842,3,,1,2,,1,2,,,1,1,1,1,,,,,2,1
727922,3,,3,1,4,2,,,2003,3,1,4,1,3,1,3,1,2,1
728148,3,,5,1,2,2,,,1990,2,1,2,1,5,1,4,1,2,1
728160,3,,1,1,2,2,,2,,4,1,4,1,,,,,2,1
728306,3,,3,1,1,2,,,1987,2,1,2,1,3,1,2,1,4,1
728493,3,,1,2,,2,,2,,4,1,3,1,,,,,2,1
728547,3,,3,1,1,1,1,,1988,4,1,4,1,3,1,3,1,2,1
729412,3,,2,2,,2,,,,1,1,1,1,,,,,1,1
729507,3,,1,1,2,2,,2,,3,1,3,1,,,,,2,1
730312,3,,2,2,,2,,2,,2,1,2,,,,,,1,1
730333,3,,2,2,,1,1,2,,3,1,3,1,,,,,2,1
730402,3,,3,1,4,2,,,1994,3,1,4,1,3,1,2,1,1,1
730430,3,,3,2,,2,,,1997,2,1,2,1,2,1,2,1,1,1
730756,3,,4,2,,1,1,,1970,2,1,2,1,2,1,2,1,1,1
730807,3,,3,1,2,1,1,,,1,1,1,1,,,,,1,1
730876,3,,3,1,1,2,,2,,2,1,2,1,,,,,1,1
730901,3,,3,2,,2,,2,,3,1,2,,,,,,2,1
730939,3,,1,2,,1,2,,,2,1,2,1,,,,,2,1
731178,3,,3,2,,1,1,,1978,2,1,2,1,2,1,2,1,5,0
731344,3,,2,2,,1,2,,1972,2,1,2,1,2,1,2,1,2,1
731660,3,,2,1,1,1,1,2,,2,1,2,1,,,,,1,1
731810,3,,1,2,,2,,2,,7,1,2,1,,,,,2,1
731827,3,,2,1,1,1,2,2,,2,1,2,1,,,,,2,1
732013,3,,4,1,2,2,,,1998,1,1,1,1,2,1,1,1,1,1
732343,3,,4,2,,2,,,1984,2,1,2,1,4,1,4,1,1,1
732369,3,,4,1,2,2,,,1988,2,1,3,1,2,1,2,1,1,1
732371,3,,2,2,,1,1,,1972,2,1,2,1,2,1,2,1,1,1
732466,3,,2,2,,1,4,,1968,1,1,1,1,1,1,1,1,2,1
732511,3,,3,2,,2,,,1983,2,1,2,1,2,1,1,1,2,1
732601,3,,4,1,3,2,,,1995,3,1,2,1,2,1,2,1,1,1
733049,3,,2,1,3,2,,,2006,2,1,2,1,3,1,2,1,2,1
733072,3,,4,1,3,2,,,2008,2,1,2,1,3,1,3,1,1,1
733216,3,,4,2,,1,2,,1980,1,1,1,1,1,1,3,1,1,1
733351,3,,3,2,,1,2,,1973,1,1,1,1,1,1,1,1,5,1
733363,3,,2,2,,2,,,2009,2,1,2,1,3,1,2,1,3,1
733605,3,,1,2,,1,2,,,1,1,1,1,,,,,2,1
733606,3,,1,1,2,2,,2,,4,1,5,1,,,,,4,1
733612,3,,3,2,,1,1,,1975,2,1,2,1,2,1,3,1,3,1
733713,3,,1,2,,2,,2,,2,1,2,1,,,,,2,1
733755,3,,3,1,2,2,,,2004,2,1,2,1,2,1,2,1,1,1
733759,3,,1,2,,1,2,,,1,1,1,1,,,,,2,1
733811,3,,2,2,,2,,2,,2,1,2,1,,,,,1,1
734107,3,,4,1,1,2,,,1989,2,1,2,1,3,1,3,1,1,1
734115,3,,2,2,,1,3,,1970,1,1,1,1,1,1,1,1,2,1
734141,3,,1,2,,1,4,,,1,1,1,1,,,,,2,1
734143,3,,2,2,,2,,,1978,2,1,2,1,2,1,2,1,1,1
734148,3,,4,1,4,2,,,1993,4,1,4,1,4,1,3,1,1,1
734160,3,,1,2,,1,1,,,3,1,3,1,,,,,1,1
734205,3,,1,2,,1,2,,,1,1,1,1,,,,,1,1
734210,3,,2,1,1,1,1,2,,1,1,2,,,,,,1,1
734264,3,,2,2,,1,2,,1968,1,1,1,1,2,1,2,1,1,1
734419,3,,1,2,,1,4,,,2,1,2,1,,,,,1,1
734833,3,,1,2,,1,1,,,2,1,2,1,,,,,1,0
734969,3,,2,2,,2,,,1974,2,1,2,1,2,1,2,1,2,1
735005,3,,1,2,,1,1,2,,1,1,2,1,,,,,2,1
735009,3,,1,2,,1,6,,,2,1,1,1,,,,,1,1
735143,3,,4,1,1,2,,,1987,2,1,2,1,1,1,1,1,2,1
735401,3,,4,1,2,2,,,2002,3,1,3,1,4,1,4,1,2,1
735436,3,,1,2,,1,1,,,1,1,1,1,,,,,1,1
735538,3,,3,1,3,2,,,1994,2,1,2,1,2,1,2,1,2,1
735621,3,,5,1,3,2,,,1991,3,1,3,1,5,1,4,1,3,1
735659,3,,4,1,1,1,2,,1987,2,1,1,1,2,1,3,1,3,1
735677,3,,2,2,,2,,,1966,7,1,2,1,4,1,2,1,1,1
735969,3,,2,1,1,2,,,1978,2,1,2,1,2,1,2,1,1,1
736010,3,,3,2,,1,2,,1984,1,1,1,1,1,1,1,1,1,1
736011,3,,3,1,1,2,,,1969,2,1,1,,1,1,2,1,1,1
736034,3,,5,2,,2,,,1980,1,1,1,1,1,1,1,1,1,1
736037,3,,1,2,,2,,2,,2,1,2,1,,,,,1,1
736206,3,,4,2,,2,,,1987,3,1,3,1,3,1,2,1,1,0
736212,3,,2,2,,1,2,,1973,1,1,1,1,2,1,2,1,1,1
736214,3,,1,2,,2,,2,,1,1,1,1,,,,,1,0
736476,3,,4,1,3,2,,,1985,5,1,5,1,4,1,3,1,2,1
736579,3,,2,2,,1,3,,1968,4,1,1,1,2,1,2,1,2,1
736627,3,,5,2,,2,,,1960,2,1,2,1,2,1,1,1,1,1
736703,3,,2,2,,2,,,1965,7,1,7,1,7,1,7,1,1,1
736722,3,,1,2,,1,2,,,7,1,7,1,,,,,2,1
736739,3,,1,2,,2,,,,7,1,7,1,,,,,2,1
736753,3,,1,2,,2,,2,,7,1,7,1,,,,,2,1
736754,3,,4,1,3,2,,,1988,1,1,7,1,1,1,2,1,1,1
736801,3,,1,2,,1,5,1,,1,2,1,2,,,,,1,1
736828,3,,5,1,4,2,,,1999,2,2,2,2,2,2,2,2,1,1
736831,3,,3,1,2,1,1,,1983,2,1,2,1,2,1,2,1,3,1
736862,3,,2,1,2,1,1,1,,2,2,1,2,,,,,2,1
736917,3,,4,1,2,2,,,2000,4,1,3,1,3,1,4,1,2,1
736935,3,,3,1,2,2,,,2003,4,1,4,1,4,1,2,1,1,1
736939,3,,1,2,,1,3,2,,2,1,2,1,,,,,2,1
736957,3,,4,1,4,2,,,1998,5,1,4,1,2,1,2,1,1,1
737312,3,,3,1,3,2,,,1993,4,1,3,1,4,1,4,1,2,1
737343,3,,1,2,,1,1,2,,3,1,2,1,,,,,2,1
737349,3,,4,1,4,2,,,1987,2,1,2,1,2,1,2,1,2,1
737401,3,,2,2,,2,,,1979,4,1,4,1,2,1,2,1,1,1
737406,3,,3,2,,2,,,2000,2,1,2,1,2,1,2,1,2,1
737420,3,,3,2,,2,,,2002,2,1,2,1,4,1,4,1,5,1
737531,3,,2,2,,2,,,,2,1,2,1,,,,,1,1
737902,3,,4,1,4,2,,,2005,2,1,2,1,2,1,3,1,1,1
737939,3,,1,2,,1,2,,,2,1,2,1,,,,,2,1
800003,3,,4,1,4,2,,,2005,3,1,4,1,3,1,3,1,1,1
800010,3,,4,1,2,2,,,1998,2,1,2,1,2,1,2,1,3,1
800013,3,,4,1,4,2,,,2006,2,1,2,1,4,1,3,1,2,1
800029,3,,3,1,1,2,,2,,3,1,3,1,,,,,1,1
800040,3,,3,1,2,2,,,1999,3,1,2,1,2,1,2,1,2,1
800041,3,,1,1,2,2,,2,,3,1,3,1,,,,,2,1
800106,3,,4,1,1,2,,,1991,7,1,7,1,2,1,2,1,2,1
800135,3,,5,2,,1,1,,1977,2,1,1,1,2,1,3,1,2,1
800180,3,,3,2,,1,1,,1970,2,1,2,1,2,1,2,1,1,1
800183,3,,3,1,4,2,,,2010,3,1,3,1,2,1,2,1,1,1
800184,3,,2,1,1,2,,,1988,1,1,1,1,1,1,1,1,1,1
800243,3,,2,1,2,1,4,,1976,2,1,2,1,2,1,2,1,1,1
800260,3,,4,1,3,2,,,2005,3,1,2,1,1,1,3,1,1,1
800274,3,,2,2,,1,3,,1962,2,1,1,1,2,1,1,1,4,1
800308,3,,1,2,,2,,2,,2,1,1,1,,,,,1,1
800416,3,,4,1,2,2,,,1999,2,1,1,1,2,1,1,1,1,1
800464,3,,4,1,3,2,,,1990,2,1,2,1,3,1,2,1,1,1
800483,3,,2,2,,1,2,,1962,1,1,1,1,1,1,1,1,1,1
800569,3,,1,2,,2,,,,2,1,4,1,,,,,2,1
800571,3,,2,2,,2,,,1977,2,1,1,1,1,1,2,1,2,1
800702,3,,4,1,4,2,,,1996,3,1,3,1,2,1,3,1,1,1
800705,3,,2,2,,2,,,1978,2,1,2,1,2,1,2,1,3,1
800832,3,,1,2,,2,,,,2,1,2,1,,,,,1,1
800884,3,,2,2,,2,,,,2,1,2,1,,,,,1,1
800901,3,,3,2,,1,1,,1975,3,1,2,1,2,1,1,1,1,1
800937,3,,1,2,,1,1,,,7,1,1,1,,,,,1,1
800999,3,,4,1,3,1,2,,1977,2,1,2,1,7,1,7,1,2,1
801010,3,,2,2,,1,1,,1952,1,1,1,1,1,1,1,1,1,1
801028,3,,4,1,1,2,,,2000,2,1,2,1,1,1,1,1,5,1
801104,3,,2,2,,1,3,,1066,2,1,2,1,1,1,2,1,1,1
801202,3,,4,1,1,2,,,1997,2,1,2,1,2,1,2,1,3,1
801221,3,,3,2,,1,1,,1986,1,1,1,1,1,1,1,1,2,1
801255,3,,1,2,,1,2,,,3,1,3,1,,,,,2,1
801279,3,,2,1,3,1,1,,1985,3,1,3,1,3,1,3,1,1,1
801380,3,,3,,,2,,2,,2,,2,,,,,,2,1
801448,3,,2,2,,1,2,,1978,2,1,2,1,2,1,2,1,1,1
801486,3,,3,2,,1,3,,1994,1,1,3,1,1,1,1,1,2,1
801541,3,,6,1,1,1,1,,,2,2,4,2,,,,,1,1
801543,3,,2,2,,1,1,,1966,2,1,2,1,2,1,2,1,1,1
801801,3,,3,2,,1,5,,1960,1,1,1,1,7,1,7,1,1,1
801803,3,,3,2,,1,1,,1970,1,1,1,1,7,1,7,1,1,1
801806,3,,3,2,,1,2,,1970,1,1,2,1,7,1,7,1,1,1
801812,3,,4,1,2,2,,,1999,7,1,7,1,7,1,7,1,1,1
801813,3,,5,1,2,2,,,1987,7,1,2,1,7,1,7,1,1,1
801875,3,,5,1,2,2,,,2001,3,1,2,1,4,1,3,1,5,1
801878,3,,3,2,,1,1,,1978,2,1,1,1,1,1,1,1,2,1
801892,3,,1,2,,2,,,,1,1,2,1,,,,,3,1
801894,3,,1,2,,1,2,,,1,1,1,1,,,,,2,1
801899,3,,1,2,,1,2,,,2,1,2,1,,,,,2,1
801908,3,,3,2,,2,,,1990,4,1,2,1,2,1,2,1,3,1
801955,3,,4,1,4,2,,,2004,2,1,2,1,2,1,7,1,1,1
