SESSO,ETA,NCOMP,NSESSOM,NSESSOF,NCOMP13,NCOMP1417,NCOMP1844,NCOMP4554,NCOMP5564,NCOMP65,A01,A02,A03,A04,A05,A06,A08,A10,A11,A12,A13,A14,A15,A16_1,A16A_1,A16_2,A16A_2,A16_3,A16A_3,A16A_4,A16A_5,A16A_6,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44_1,A44_2,A44_3,A44_4,A44_5,A45_1_1,A45_2_1,A45_3_1,A45_4_1,A45_5_1,A45_1_2,A45_2_2,A45_3_2,A45_4_2,A45_5_2,A45_1_3,A45_2_3,A45_3_3,A45_4_3,A45_5_3,A45_1_4,A45_2_4,A45_3_4,A45_4_4,A45_5_4,AREA5,ACOM,Y_MONTH,PANEL,PESO,pesopanel,TITOLO,A07,A09,ID
2,83,1,0,1,0,0,0,0,0,1,3,3,1,3,3,99,,6,,,,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,6,2,,2,,1,2,,1,2,,,,4,,3,2,,2,,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,2,2,2,1,1,2,1,1,1,1,4,2,98,1,54997.6650972307,141939.599401328,1,0,0,30183
2,69,2,1,1,0,0,0,1,0,1,2,3,1,99,9,99,0,1,1,2,0,,0,2,2,2,2,2,2,2,2,2,1,1,,2,,,4,2,,1,3,2,2,,2,3,2,3,1,4,,1,2,,2,,2,1,2,1,1,3,3,3,1,3,3,1,3,1,2,2,1,2,1,1,2,1,2,1,1,3,3,16,1,15169.9999281841,36960.3723436434,3,2,1,30256
1,76,1,1,0,0,0,0,0,0,1,1,2,2,,4,7,1,2,,7,0,,,2,2,2,2,2,2,2,2,2,1,2,,3,,2,3,2,,1,3,2,3,2,2,2,,,,1,1,,2,,2,,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,15,2,18273.0365755511,,6,1,0,30259
1,68,3,1,2,0,0,1,0,0,2,5,5,2,,1,3,1,4,,,,,0,2,2,2,2,2,2,2,2,2,3,1,,2,,,4,2,,1,3,4,2,,1,2,,,,4,,3,1,1,,,2,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,1,2,1,1,2,2,2,2,1,2,3,21,2,5420.65893670341,,6,3,1,30331
1,58,2,1,1,0,0,0,0,2,0,2,2,2,,2,5,0,2,,7,30,,,2,2,2,2,2,2,2,1,2,1,2,,4,,,2,3,3,1,1,4,3,3,3,3,2,2,2,1,1,,2,,2,,3,2,2,1,1,3,3,3,3,3,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,4,4,11,1,6400.39180111071,15897.776806158,4,1,0,30351
2,71,2,1,1,0,0,0,0,0,2,4,4,1,6,1,5,,4,,,,,,2,2,2,2,2,2,2,2,2,4,2,,2,,,5,2,,2,,4,2,,1,2,,,,4,,3,2,,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,1,1,1,1,1,5,20,2,14652.5322347202,,3,0,0,30378
2,67,2,0,2,0,0,1,0,0,1,4,3,1,3,2,4,1,6,,,,,0,2,2,2,2,2,2,2,2,2,1,2,,2,,,6,2,,2,,4,3,3,1,2,,,,4,,3,2,,2,,3,2,1,1,1,3,2,1,2,1,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,4,18,2,4526.29800121039,,6,2,1,30461
1,76,3,1,2,0,0,1,0,0,2,9,9,9,,9,99,1,4,,,,,50,2,2,2,2,2,2,2,2,2,4,2,,2,,,3,2,,2,,2,3,2,2,2,,,,4,,3,2,,2,,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,98,2,6317.87694768207,,4,1,1,30467
1,75,4,2,2,1,0,1,0,0,2,5,5,1,11,1,9,2,4,,,,,0,2,2,2,2,2,2,2,2,2,4,3,2,2,,,3,2,,2,,1,2,,2,3,2,2,2,4,,3,2,,1,2,3,4,2,2,1,3,3,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,12,2,5506.8754096219,,6,2,1,30502
1,48,1,1,0,0,0,0,1,0,0,3,4,2,,4,3,1,1,1,7,51,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,5,2,,2,,1,3,2,1,2,,,,4,,3,1,3,,,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,98,2,16727.9255748691,,7,1,0,30552
2,77,1,0,1,0,0,0,0,0,1,5,4,1,10,2,99,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,3,,2,4,3,2,2,,4,3,2,2,3,3,3,2,4,,3,1,1,,,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,8,1,13352.3647643569,32919.1279234343,6,0,0,30575
1,82,3,2,1,0,0,1,0,0,2,3,3,2,,4,6,0,4,,,,,0,2,2,2,2,2,2,2,2,2,3,2,,2,,,4,2,,2,,4,2,,2,2,,,,4,,3,1,3,,,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,20,1,17859.2260176647,40216.8434850716,2,1,1,30654
2,76,1,0,1,0,0,0,0,0,1,5,4,9,,2,99,1,4,,,,,1,2,2,2,2,2,2,2,1,2,4,3,,4,,,6,1,,2,,4,3,4,3,3,4,3,3,4,,3,2,,2,,5,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,1,4,2,2,13352.3647643569,,7,1,0,30694
1,71,2,1,1,0,0,0,0,0,2,5,5,2,,4,4,,4,,,,,,2,2,2,2,2,2,2,2,2,3,2,,2,,,4,2,,2,,4,2,,3,2,,,,4,,3,1,3,,,3,2,2,1,2,3,2,1,1,1,3,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,17,2,7707.88377025814,,4,0,0,30699
1,74,2,1,1,0,0,0,0,0,2,5,5,1,5,2,7,0,4,,,,,,2,2,2,2,2,2,2,2,2,4,2,,2,,,5,2,,2,,1,2,,1,2,,,,4,,3,1,3,,,2,2,2,2,1,3,3,3,2,2,3,3,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,21,1,12196.1146323583,27915.4935968529,3,2,0,30758
1,76,2,1,1,0,0,0,0,0,2,2,1,2,,4,3,,4,,,,,,2,2,2,2,2,2,2,2,2,4,2,,2,,,4,2,,2,,4,2,,1,2,,,,4,,3,1,1,,,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,5,15,2,7010.75329561736,,6,0,0,30848
2,67,1,0,1,0,0,0,0,0,1,4,3,1,11,4,8,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,3,2,,1,3,2,2,,2,3,2,3,1,1,1,,2,,1,1,3,2,3,1,1,3,3,3,3,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,5,7,2,18725.9282713462,,4,0,0,30865
1,70,2,1,1,0,0,0,0,0,2,3,4,1,10,2,7,0,4,,,,,1,2,2,2,2,2,2,2,2,2,4,2,,2,,,4,3,1,2,,3,3,2,2,3,2,3,2,4,,3,1,3,,,3,2,2,1,1,3,2,2,1,2,3,2,2,1,1,3,2,2,2,2,3,2,2,1,1,1,5,15,2,7624.25999091677,,4,2,1,30872
2,74,1,0,1,0,0,0,0,0,1,5,5,1,3,1,5,0,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,3,,2,2,2,,2,,4,2,,2,2,,,,4,,1,1,3,,,3,3,3,3,2,3,2,3,2,2,2,2,2,2,2,3,1,2,1,1,3,2,1,1,1,1,5,5,1,18725.9282713462,46167.1950346238,4,1,0,30875
1,76,2,1,1,0,0,0,0,0,2,5,5,1,10,1,8,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,3,,2,2,2,,1,1,4,2,,2,1,,3,1,4,,1,1,1,,,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,17,1,7707.88377025814,17642.4530696889,4,0,0,30897
1,68,3,1,2,0,0,1,0,0,2,4,4,1,10,2,3,2,4,,,,,0,2,2,2,2,2,2,2,2,2,1,1,,2,,,4,2,,2,,1,2,,1,2,,,,2,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,21,2,5582.8696428661,,4,2,1,30965
1,66,4,3,1,0,0,2,0,1,1,5,3,2,,4,5,1,2,,7,50,,0,2,2,2,2,2,2,2,1,2,4,2,,1,1,,3,3,1,1,1,2,3,1,3,3,3,2,2,2,1,,2,,2,,2,1,1,1,2,3,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3,1,2,98,2,5281.92770792465,,4,3,2,30969
1,77,2,1,1,0,0,0,0,0,2,4,4,2,,3,5,,4,,,,,,2,2,2,2,2,2,2,2,2,3,2,,2,,,4,2,,2,,4,3,1,1,1,,3,3,4,,3,1,3,,,3,3,3,2,3,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,5,98,2,11141.4602112071,,3,0,0,30979
2,66,2,0,2,0,0,0,0,0,2,4,4,1,3,3,4,,6,,,,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,6,2,,2,,4,2,,2,2,,,,1,2,,1,1,,,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,3,18,2,6131.06761394492,,4,0,0,30982
2,72,1,0,1,0,0,0,0,0,1,3,4,2,,2,99,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,4,2,,1,3,4,2,,1,2,,,,4,,3,1,1,,,1,1,3,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,2,18931.3122797549,,4,0,0,31004
2,75,2,1,1,0,0,0,1,0,1,5,5,1,6,2,4,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,4,2,,2,,4,2,,2,3,3,3,1,4,,3,2,,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,8172.63864343782,18564.2610125439,4,0,0,31032
2,66,1,0,1,0,0,0,0,0,1,3,3,1,99,9,99,1,2,,98,1,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,4,2,,2,,1,3,2,2,1,,3,3,4,,3,1,1,,,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,5,98,2,17294.2336653803,,4,1,0,31070
1,57,3,1,2,0,0,1,0,2,0,4,3,1,2,2,3,0,1,1,5,0,,0,2,2,2,2,2,2,2,2,2,3,2,,2,,,4,2,,2,,3,2,,1,1,,3,3,4,,3,1,1,,,2,2,1,2,2,3,4,3,3,3,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,98,1,5562.3072225141,12406.5809870867,4,2,1,31121
2,79,1,0,1,0,0,0,0,0,1,5,5,2,,2,8,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,4,,,3,2,,2,,4,2,,2,3,3,3,3,4,,3,1,1,,,2,1,3,1,2,3,3,3,3,3,3,2,3,1,2,3,1,3,1,2,3,1,3,1,2,2,2,4,2,18162.5209104712,,4,0,0,31143
1,74,2,1,1,0,0,0,0,0,2,2,3,1,7,2,5,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,5,2,,2,,4,2,,1,2,,,,1,2,,2,,1,1,3,2,2,2,1,3,2,2,2,1,3,2,2,2,1,2,2,2,2,1,3,2,2,1,1,2,2,18,2,7394.86482231602,,4,0,0,31148
2,77,2,0,2,0,0,0,1,0,1,3,4,1,10,2,9,0,1,1,4,10,,0,2,2,2,2,2,2,2,2,2,1,2,,2,,,4,2,,2,,3,3,1,1,2,,,,4,,3,1,1,,,3,2,3,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,18,1,11367.9340973915,25654.7334456731,3,1,1,31149
2,63,2,1,1,0,0,1,0,1,0,4,4,2,,5,4,0,2,,7,50,,0,2,2,2,2,2,2,2,1,2,1,2,,2,,,3,2,,1,3,3,3,1,2,3,3,3,1,4,,3,1,3,,,3,1,3,1,1,3,1,2,1,1,3,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,5,7,1,5112.71735427278,12427.1890028912,6,1,1,31158
2,65,1,0,1,0,0,0,0,0,1,4,3,1,3,4,3,1,1,4,98,20,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,4,3,4,2,,3,3,2,1,3,2,3,2,4,,1,2,,2,,2,1,3,1,2,3,2,3,1,2,3,1,3,1,2,3,1,2,1,2,2,2,2,2,2,2,1,14,1,18162.5209104712,44778.1617575252,4,1,0,31182
1,80,2,1,1,0,0,0,0,0,2,5,5,1,7,2,7,0,1,4,4,100,,50,1,2,2,2,2,2,2,2,2,3,2,,2,,,5,3,3,2,,4,3,3,2,2,,,,4,,3,1,3,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,5,18,2,11571.162224244,,3,2,1,31243
1,78,3,2,1,0,0,0,1,0,2,4,4,1,11,3,6,0,4,,,,,20,2,2,2,2,2,2,2,2,2,3,1,,2,,,3,2,,2,,4,2,,2,2,,,,4,,3,2,,1,1,3,3,3,1,1,3,3,3,3,3,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,5,98,2,10624.6473972308,,3,2,2,31262
2,83,1,0,1,0,0,0,0,0,1,4,4,1,2,2,7,0,2,,98,0,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,3,3,3,2,,4,1,,2,3,2,3,3,4,,3,1,3,,,3,2,2,3,3,3,3,3,3,3,3,2,3,3,2,3,1,2,3,1,3,1,2,3,2,2,5,14,2,16515.9165800894,,5,1,0,31266
2,72,1,0,1,0,0,0,0,0,1,4,5,1,99,2,5,0,6,,,,,10,2,2,2,2,2,2,2,2,2,1,2,,2,,,3,3,2,1,3,3,3,2,2,3,2,2,2,4,,1,2,,2,,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,17,2,13352.3647643569,,7,1,0,31275
1,59,3,2,1,0,0,1,0,2,0,5,5,1,11,4,4,2,1,1,6,0,,0,1,1,2,2,2,2,2,2,2,3,1,,2,,,5,3,2,2,,4,2,,1,2,,,,4,,3,1,3,,,2,1,1,1,2,4,4,3,3,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,98,2,6610.12890621781,,4,3,2,31326
1,79,2,1,1,0,0,0,0,0,2,4,5,1,4,2,5,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,3,,1,3,2,,2,,3,2,,2,3,1,2,2,3,1,,2,,2,,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,3,9,2,9354.74734185515,,3,0,0,31358
1,79,4,2,2,0,0,0,2,0,2,2,3,1,99,2,2,1,4,,,,,0,2,2,2,2,2,2,2,2,2,4,2,,2,,,4,2,,2,,3,2,,1,2,,,,4,,3,2,,1,1,3,1,2,1,1,3,3,3,1,2,3,2,3,1,1,3,2,3,1,1,2,1,2,1,1,1,5,21,2,5372.26039681602,,4,2,2,31371
1,75,2,1,1,0,0,0,0,0,2,3,2,1,2,3,5,,4,,,,,,2,2,2,2,2,2,2,2,2,4,2,,2,,,6,2,,2,,4,2,,1,2,,,,4,,3,1,3,,,3,3,2,3,2,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,20,2,6799.8114191059,,6,0,0,31436
2,60,2,0,2,0,0,0,0,1,1,5,5,2,,2,8,0,2,,4,80,,,2,2,2,2,2,2,2,1,2,3,2,,2,,,4,3,4,2,,3,3,4,3,3,4,2,1,4,,3,2,,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,2,5955.01593258435,,4,1,0,31494
1,60,5,3,2,0,1,2,0,2,0,4,5,3,,2,4,0,1,1,9,0,,20,2,2,2,2,2,2,1,2,2,3,2,,1,3,,3,2,,2,,3,1,,2,3,2,2,2,4,,3,1,1,,,2,2,3,3,2,3,2,3,3,4,3,4,3,3,4,2,3,3,3,3,2,3,3,3,3,2,4,19,2,5685.66343025485,,7,4,4,31506
2,76,2,1,1,0,0,0,1,0,1,3,4,1,5,2,9,2,2,,7,0,,1,2,2,2,2,2,2,2,2,2,1,2,,3,,1,3,2,,1,3,3,1,,2,2,,,,4,,3,2,,1,3,3,1,1,1,1,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,5,14,2,7753.86021357683,,4,2,1,31515
1,78,4,2,2,0,0,2,0,0,2,4,5,3,,2,7,,4,,,,,0,2,2,2,2,2,2,2,2,2,3,2,,3,,2,4,3,2,2,,4,2,,1,3,2,3,3,4,,3,2,,1,1,4,4,1,1,1,3,1,2,2,1,3,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,5,98,2,4340.34614141256,,4,0,3,31536
2,74,2,1,1,0,0,0,0,0,2,4,3,1,11,2,9,,4,,,,,,2,2,2,2,2,2,2,2,2,4,2,,2,,,4,2,,2,,4,2,,1,2,,,,4,,3,1,3,,,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,18,2,8882.1616917291,,4,0,0,31560
1,84,4,2,2,0,0,0,2,0,2,9,9,1,99,9,99,,2,,98,5,,0,2,2,2,2,2,2,2,1,2,3,2,,2,,,2,3,4,2,,4,3,3,2,3,2,3,3,4,,1,2,,2,,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,12,2,6045.37663136762,,4,0,1,31645
1,77,2,1,1,0,0,0,0,0,2,3,4,2,,3,8,1,4,,,,,0,2,2,2,2,2,2,2,1,2,3,3,,2,,,3,2,,2,,3,2,,2,2,,,,4,,3,2,,2,,3,2,2,2,3,3,2,2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,3,5,13,2,11656.7476858227,,3,1,1,31706
1,45,3,2,1,1,0,0,2,0,0,4,4,1,9,3,7,0,1,1,98,0,,0,2,2,2,2,2,2,2,2,2,3,1,1,1,3,,4,2,,2,,1,2,,2,2,,,,4,,2,1,1,,,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,3,5,16,2,11941.9642402562,,3,2,2,31716
1,84,2,1,1,0,0,0,0,0,2,4,3,1,10,4,4,,4,,,,,,2,2,2,2,2,2,2,2,2,4,3,,2,,,4,1,,2,,3,2,,1,2,,,,4,,3,1,1,,,3,1,3,1,1,2,3,3,3,3,3,2,3,3,1,2,2,2,2,1,3,1,1,1,1,3,5,98,2,6774.18317869887,,6,0,0,31720
2,65,2,0,2,0,0,1,0,0,1,4,5,1,11,1,99,0,1,4,3,0,,0,2,1,1,1,2,2,2,2,2,4,3,,1,1,,3,3,4,1,1,4,3,3,2,3,2,3,1,4,,1,1,1,,,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,15,2,5677.97064332547,,4,1,1,31723
1,66,3,1,2,0,0,1,0,1,1,5,5,1,11,1,8,2,3,,,,0,1,2,2,2,2,2,2,2,2,2,3,2,,2,,,4,3,3,2,,1,3,3,2,3,4,2,2,4,,3,1,3,,,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,98,2,6118.58480811819,,4,2,2,31734
2,81,2,1,1,0,0,0,1,0,1,9,9,2,,9,4,0,2,,4,20,,,2,2,2,2,2,2,2,1,2,4,2,,2,,,3,2,,2,,4,3,1,2,2,,,,4,,3,2,,2,,3,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,3,3,98,2,33955.4120059515,,1,1,0,31758
1,82,2,1,1,0,0,0,0,0,2,4,2,1,11,1,1,,4,,,,,,2,2,2,2,2,2,2,2,2,4,2,,2,,,2,2,,2,,1,3,2,3,3,3,2,1,4,,2,2,,2,,1,1,1,1,1,3,1,1,2,1,2,2,2,2,3,2,2,3,2,2,3,1,2,2,1,3,5,8,1,11656.7476858227,28356.788431086,3,0,0,31764
1,81,2,1,1,0,0,0,0,0,2,5,5,1,11,1,9,2,4,,,,,0,2,2,2,2,2,2,2,2,2,4,2,,2,,,4,2,,2,,4,2,,2,3,1,3,3,4,,3,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,18,1,8377.73384932383,20380.0950917174,7,2,1,31830
1,66,3,1,2,0,0,1,0,1,1,5,5,2,,3,4,0,2,,98,40,,0,2,2,2,2,2,2,1,1,2,4,2,,2,,,3,3,4,2,,3,1,,2,3,4,2,2,4,,3,2,,2,,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,4,21,2,6118.58480811819,,4,2,1,31859
2,71,1,0,1,0,0,0,0,0,1,2,2,1,11,2,8,,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,,2,,,2,2,,2,,1,2,,2,2,,,,4,,3,2,,2,,3,1,3,1,1,3,3,3,3,1,3,1,2,1,1,2,1,1,1,1,2,1,1,1,1,4,5,6,2,19865.7695819693,,4,0,0,31871
1,68,2,1,1,0,0,0,0,0,2,4,4,9,,1,99,0,4,,,,,50,2,2,2,2,2,2,2,1,2,1,2,,2,,,3,3,2,2,,1,3,2,2,3,1,2,1,4,,3,2,,1,1,3,2,2,3,1,3,2,2,3,2,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,8,2,12392.0970377853,,3,1,1,31885
1,73,4,3,1,0,0,1,1,0,2,2,2,1,4,3,4,1,4,,,,,5,2,2,2,2,2,2,2,2,2,3,2,,2,,,3,2,,1,3,4,2,,2,2,,,,4,,3,2,,2,,2,2,2,2,1,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,4,20,2,10382.6679065159,,3,2,2,31910
1,67,2,1,1,0,0,0,0,1,1,4,4,3,,5,99,0,4,,,,,,2,2,2,2,2,2,2,2,2,4,1,,2,,,4,3,3,2,,4,3,3,2,3,4,3,1,4,,3,2,,1,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,98,2,14057.6177333168,,3,1,0,31912
1,73,3,2,1,0,0,1,0,0,2,3,2,1,10,3,99,0,6,,,,,1,2,2,2,2,2,2,2,2,2,1,1,,2,,,3,3,2,2,,2,3,1,3,3,2,3,2,4,,3,2,,1,2,2,2,2,1,2,3,3,3,3,3,3,2,2,1,1,3,1,2,1,1,3,1,2,1,1,3,4,18,2,7550.36422709326,,4,1,1,31914
