nquest,NCOMP,nord,sex,anasc,staciv,ireg,PERC
27923,4,3,1,1992,2,13,0
27923,4,4,1,2000,2,13,0
27947,2,1,1,1933,1,13,1
27947,2,2,2,1932,1,13,1
28362,1,1,1,1928,4,9,1
28441,2,1,1,1950,1,9,1
28441,2,2,2,1958,1,9,0
28802,2,1,2,1960,1,1,1
28802,2,2,1,1956,1,1,1
28859,1,1,2,1930,4,8,1
28992,2,1,1,1931,1,20,1
28992,2,2,2,1941,1,20,0
29140,2,1,1,1949,1,9,1
29140,2,2,2,1952,1,9,1
29678,2,1,1,1933,1,19,1
29678,2,2,2,1937,1,19,0
29680,4,1,1,1964,1,19,1
29680,4,2,2,1970,1,19,1
29680,4,3,1,1990,2,19,0
29680,4,4,1,1994,2,19,1
29737,2,1,1,1951,1,16,1
29737,2,2,2,1953,1,16,1
29742,4,1,1,1952,1,16,1
29742,4,2,2,1954,1,16,1
29742,4,3,2,1975,2,16,1
29742,4,4,1,1986,2,16,0
29798,2,1,1,1935,1,11,1
29798,2,2,2,1936,1,11,1
29823,6,1,2,1960,1,15,1
29823,6,2,1,1965,1,15,1
29823,6,3,2,1994,2,15,0
29823,6,4,1,1995,2,15,1
29823,6,5,2,1998,2,15,0
29823,6,6,1,2001,2,15,0
31093,1,1,1,1954,2,1,1
31220,2,1,2,1938,1,8,1
31220,2,2,1,1935,1,8,1
31221,2,1,2,1938,4,8,1
31221,2,2,2,1979,2,8,1
31246,2,1,1,1942,1,1,1
31246,2,2,2,1944,1,1,1
31625,2,1,2,1931,4,3,1
31625,2,2,2,1957,2,3,1
31652,2,1,1,1941,1,3,1
31652,2,2,2,1943,1,3,1
31665,1,1,1,1937,4,7,1
31671,1,1,2,1952,4,7,1
31695,3,1,2,1969,1,3,0
31695,3,2,1,1964,1,3,1
31695,3,3,1,1992,2,3,1
31724,5,1,1,1958,1,7,1
31724,5,2,2,1962,1,7,1
31724,5,3,2,1991,2,7,1
31724,5,4,2,1996,2,7,0
31724,5,5,2,1999,2,7,1
31757,1,1,2,1935,4,3,1
31799,2,1,2,1948,1,3,1
31799,2,2,1,1941,1,3,1
31860,3,1,1,1958,1,15,1
31860,3,2,2,1961,1,15,1
31860,3,3,2,1989,2,15,1
32034,2,1,1,1944,1,1,1
32034,2,2,2,1948,1,1,0
32044,1,1,2,1937,4,1,1
32052,2,1,1,1941,1,1,1
32052,2,2,2,1944,1,1,1
32057,3,1,1,1938,1,1,1
32057,3,2,2,1943,1,1,1
32057,3,3,1,1967,2,1,1
32190,1,1,1,1947,2,3,1
32318,1,1,2,1936,4,4,1
32320,3,1,2,1962,1,4,1
32320,3,2,1,1958,1,4,1
32320,3,3,1,1994,2,4,1
32471,1,1,2,1945,4,15,1
32524,2,1,1,1945,1,8,1
32524,2,2,2,1948,1,8,1
32556,1,1,2,1947,4,5,1
32668,3,1,1,1949,1,16,1
32668,3,2,2,1950,1,16,0
32668,3,3,1,1974,2,16,1
32703,1,1,2,1942,4,8,1
32709,4,1,1,1940,1,8,1
32709,4,2,2,1944,1,8,1
32709,4,3,1,1971,2,8,1
32709,4,4,2,1979,2,8,1
32729,2,1,1,1954,1,8,1
32729,2,2,2,1958,1,8,0
32734,1,1,1,1965,3,8,1
32751,1,1,2,1939,4,8,1
32765,2,1,2,1956,1,8,1
32765,2,2,1,1954,1,8,1
32772,2,1,2,1952,1,8,0
32772,2,2,1,1949,1,8,1
32810,1,1,2,1936,4,17,1
32822,3,1,1,1929,1,18,1
32822,3,2,2,1931,1,18,1
32822,3,3,1,1962,2,18,1
32839,2,1,1,1945,1,5,1
32839,2,2,2,1944,1,5,0
32861,3,1,2,1951,1,11,1
32861,3,2,1,1946,1,11,1
32861,3,3,2,1989,2,11,1
32887,3,1,1,1962,1,5,1
32887,3,2,2,1965,1,5,1
32887,3,3,1,1990,2,5,0
33036,3,1,1,1936,1,15,1
33036,3,2,2,1939,1,15,0
33036,3,3,1,1965,2,15,0
33038,6,1,1,1957,1,15,1
33038,6,2,2,1955,1,15,0
33038,6,3,2,1988,1,15,0
33038,6,4,1,1990,2,15,1
33038,6,5,1,1988,1,15,1
33038,6,6,2,2016,2,15,0
33275,2,1,1,1936,1,13,1
33275,2,2,2,1945,1,13,1
33303,2,1,1,1947,1,8,1
33303,2,2,2,1939,1,8,1
33335,4,1,1,1960,1,10,1
33335,4,2,2,1959,1,10,1
33335,4,3,1,1983,2,10,1
33335,4,4,1,1988,2,10,1
33336,2,1,1,1970,2,10,1
33336,2,2,2,1943,4,10,1
33348,2,1,1,1939,1,10,1
33348,2,2,2,1944,1,10,1
33451,3,1,2,1955,4,19,1
33451,3,2,1,1983,2,19,0
33451,3,3,2,1993,2,19,0
33455,1,1,1,1936,3,19,1
33479,2,1,2,1934,2,19,1
33479,2,2,2,1936,2,19,1
33644,1,1,2,1937,3,5,1
33823,1,1,2,1929,4,9,1
33839,1,1,2,1946,4,16,1
33877,2,1,2,1963,1,8,1
33877,2,2,1,1958,1,8,1
33882,2,1,1,1951,1,8,1
33882,2,2,2,1959,1,8,0
33937,2,1,1,1939,1,12,1
33937,2,2,2,1947,1,12,0
33985,3,1,1,1949,1,12,1
33985,3,2,2,1954,1,12,1
33985,3,3,1,1989,2,12,0
33994,3,1,1,1946,1,12,1
33994,3,2,2,1950,1,12,0
33994,3,3,1,1976,2,12,1
34059,1,1,1,1951,4,11,1
34252,1,1,1,1948,2,13,1
34732,2,1,1,1938,1,16,1
34732,2,2,2,1943,1,16,1
34778,2,1,2,1937,4,16,1
34778,2,2,1,1963,2,16,1
34825,2,1,1,1953,1,8,1
34825,2,2,2,1954,1,8,1
34900,4,1,2,1967,1,5,1
34900,4,2,1,1963,1,5,1
34900,4,3,2,1994,2,5,0
34900,4,4,1,2002,2,5,0
35005,2,1,1,1941,4,3,1
35005,2,2,1,1982,2,3,1
35022,3,1,2,1966,1,15,0
35022,3,2,1,1966,1,15,1
35022,3,3,1,1993,2,15,1
35032,4,1,1,1958,1,3,1
35032,4,2,2,1960,1,3,1
35032,4,3,1,1988,2,3,1
35032,4,4,1,1990,2,3,0
35234,2,1,1,1939,1,9,1
35234,2,2,2,1945,1,9,1
35319,1,1,2,1937,4,13,1
35322,2,1,1,1929,1,13,1
35322,2,2,2,1937,1,13,1
35323,2,1,2,1937,1,13,1
35323,2,2,1,1937,1,13,1
35326,2,1,1,1936,2,18,1
35326,2,2,2,1932,2,18,1
35340,1,1,2,1938,4,18,1
35349,1,1,2,1932,4,18,1
35355,1,1,2,1933,4,18,1
35370,1,1,1,1928,3,18,1
35372,3,1,2,1955,1,18,1
35372,3,2,1,1949,1,18,1
35372,3,3,1,1976,2,18,1
35374,4,1,2,1983,2,18,0
35374,4,2,2,1953,4,18,1
35374,4,3,1,1988,2,18,0
35374,4,4,2,1988,2,18,0
35379,2,1,1,1949,1,18,1
35379,2,2,2,1957,1,18,0
35502,2,1,2,1957,1,19,0
35502,2,2,1,1951,1,19,1
35507,3,1,2,1963,2,19,1
35507,3,2,1,1937,1,19,1
35507,3,3,2,1941,1,19,0
35508,6,1,2,1965,4,19,1
35508,6,2,1,1993,2,19,0
35508,6,3,1,1994,2,19,0
35508,6,4,1,1998,2,19,0
35508,6,5,1,2004,2,19,0
35508,6,6,1,2008,2,19,0
35518,1,1,2,1938,4,19,1
35600,1,1,2,1930,4,19,1
35640,2,1,1,1946,1,9,1
35640,2,2,2,1945,1,9,1
35682,2,1,1,1949,1,5,1
35682,2,2,2,1955,1,5,1
35788,2,1,1,1951,1,5,1
35788,2,2,2,1954,1,5,0
35968,1,1,2,1925,4,9,1
36067,3,1,1,1950,1,16,1
36067,3,2,2,1955,1,16,0
36067,3,3,1,1983,2,16,1
36130,2,1,1,1963,1,5,1
36130,2,2,2,1965,1,5,1
36164,2,1,1,1959,1,5,1
36164,2,2,2,1963,1,5,1
36186,3,1,2,1963,4,17,1
36186,3,2,2,1986,2,17,1
36186,3,3,2,2000,2,17,0
36250,3,1,2,1961,4,16,1
36250,3,2,1,1985,2,16,1
36250,3,3,1,1991,2,16,1
36321,3,1,1,1950,1,16,1
36321,3,2,2,1951,1,16,0
36321,3,3,2,1982,2,16,1
36333,2,1,2,1958,4,12,1
36333,2,2,2,1987,2,12,1
36378,2,1,1,1948,1,5,1
36378,2,2,2,1951,1,5,1
36403,2,1,1,1938,1,1,1
36403,2,2,2,1943,1,1,1
36409,2,1,1,1954,1,1,1
36409,2,2,2,1956,1,1,1
36443,2,1,1,1953,1,8,1
36443,2,2,2,1959,1,8,1
36450,3,1,1,1952,1,8,1
36450,3,2,2,1956,1,8,1
36450,3,3,1,1986,2,8,1
36522,4,1,2,1961,1,17,1
36522,4,2,1,1959,1,17,1
36522,4,3,2,1989,2,17,1
36522,4,4,1,1993,2,17,0
36524,3,1,2,1937,1,17,1
36524,3,2,1,1941,1,17,1
36524,3,3,1,1968,2,17,1
36697,1,1,2,1953,4,8,1
36893,3,1,1,1951,1,19,1
36893,3,2,2,1960,1,19,0
36893,3,3,2,1992,2,19,0
37001,4,1,2,1954,1,9,0
37001,4,2,1,1950,1,9,1
37001,4,3,1,1979,1,9,1
37001,4,4,2,1989,1,9,0
37011,2,1,1,1941,1,13,1
37011,2,2,2,1947,1,13,1
37299,3,1,1,1957,1,15,1
37299,3,2,2,1961,1,15,0
37299,3,3,2,1995,2,15,0
37459,3,1,1,1962,1,12,1
37459,3,2,2,1964,1,12,0
37459,3,3,2,1992,2,12,0
37521,1,1,2,1950,3,5,1
37665,3,1,2,1964,1,5,1
37665,3,2,1,1957,1,5,1
37665,3,3,2,1927,4,5,1
37677,2,1,1,1941,1,19,1
37677,2,2,2,1947,1,19,0
37810,1,1,2,1950,2,12,1
38014,2,1,2,1956,1,6,0
38014,2,2,1,1952,1,6,1
38095,3,1,1,1965,1,1,1
38095,3,2,2,1961,1,1,0
38095,3,3,1,1985,2,1,1
38106,1,1,1,1940,4,6,1
38135,1,1,1,1969,2,6,1
38272,1,1,2,1938,2,9,1
38316,4,1,1,1957,1,5,1
38316,4,2,2,1958,1,5,1
38316,4,3,1,1990,2,5,0
38316,4,4,2,1995,2,5,0
38349,2,1,1,1939,1,8,1
38349,2,2,2,1943,1,8,0
38554,4,1,1,1967,1,9,1
38554,4,2,2,1974,1,9,1
38554,4,3,1,1996,2,9,1
38554,4,4,1,2002,2,9,0
38877,2,1,1,1947,1,13,1
38877,2,2,2,1951,1,13,0
38885,2,1,1,1944,1,13,1
38885,2,2,2,1951,1,13,1
38939,4,1,2,1946,4,20,1
38939,4,2,2,1969,1,20,1
38939,4,3,2,2008,2,20,0
38939,4,4,2,2011,2,20,0
38940,2,1,1,1944,1,20,1
38940,2,2,2,1946,1,20,1
38957,2,1,1,1929,1,20,1
38957,2,2,2,1931,1,20,0
38979,1,1,2,1945,4,4,1
38992,2,1,2,1950,1,3,1
38992,2,2,1,1949,1,3,1
39056,2,1,1,1956,1,3,1
39056,2,2,2,1959,1,3,1
39086,2,1,1,1937,1,5,1
39086,2,2,2,1939,1,5,1
39095,1,1,2,1958,4,5,1
39218,1,1,2,1940,2,5,1
39227,2,1,1,1965,1,5,1
39227,2,2,1,1934,4,5,1
39284,3,1,1,1927,1,13,1
39284,3,2,2,1931,1,13,1
39284,3,3,2,1965,2,13,1
39317,1,1,1,1992,2,1,1
39318,3,1,1,1962,1,1,1
39318,3,2,2,1966,1,1,1
39318,3,3,1,1998,2,1,0
39351,2,1,1,1938,1,11,1
39351,2,2,2,1938,1,11,1
39488,2,1,2,1949,3,9,1
39488,2,2,2,1926,4,9,1
39491,2,1,1,1938,1,9,1
39491,2,2,2,1933,1,9,1
39697,3,1,1,1948,1,19,1
39697,3,2,2,1952,1,19,1
39697,3,3,2,1985,2,19,0
50052,1,1,1,1929,4,20,1
50060,3,1,1,1959,1,20,1
50060,3,2,2,1956,1,20,0
50060,3,3,1,1987,2,20,0
50085,2,1,1,1945,4,20,1
50085,2,2,1,1976,2,20,0
50231,2,1,2,1939,4,20,1
50231,2,2,1,1958,2,20,1
50232,1,1,1,1928,4,20,1
51013,3,1,1,1947,1,18,1
51013,3,2,2,1950,1,18,1
51013,3,3,1,1982,2,18,1
51363,1,1,2,1933,4,10,1
51444,4,1,1,1952,1,5,1
51444,4,2,2,1951,1,5,1
51444,4,3,2,1981,2,5,1
51444,4,4,2,1988,2,5,1
51467,3,1,1,1932,1,5,1
51467,3,2,2,1931,1,5,1
51467,3,3,1,1961,3,5,0
51544,2,1,1,1950,1,5,1
51544,2,2,2,1943,1,5,1
51733,2,1,1,1940,1,5,1
51733,2,2,2,1939,1,5,1
51895,2,1,1,1941,1,4,1
51895,2,2,2,1940,1,4,1
52700,1,1,2,1960,4,16,1
52718,2,1,2,1956,4,14,1
52718,2,2,2,1981,2,14,1
52736,3,1,2,1965,2,16,0
52736,3,2,1,1925,4,16,1
52736,3,3,1,1945,2,16,1
53008,2,1,1,1958,1,8,1
53008,2,2,2,1963,1,8,1
53028,1,1,2,1942,3,5,1
53086,1,1,1,1956,2,8,1
53109,1,1,2,1932,4,8,1
53202,2,1,1,1950,1,5,1
53202,2,2,2,1956,1,5,1
53234,4,1,1,1946,1,8,1
53234,4,2,2,1947,1,8,1
53234,4,3,1,1978,2,8,1
53234,4,4,1,1986,2,8,0
53373,2,1,2,1953,1,11,1
53373,2,2,1,1945,1,11,1
53380,2,1,2,1932,4,11,1
53380,2,2,1,1961,3,11,1
53520,2,1,1,1948,1,11,1
53520,2,2,2,1952,1,11,1
53549,2,1,1,1943,1,11,1
53549,2,2,2,1948,1,11,1
53552,2,1,2,1955,3,11,1
53552,2,2,2,1991,2,11,1
53564,2,1,1,1930,4,11,1
53564,2,2,2,1963,2,11,1
53596,3,1,1,1964,3,11,1
53596,3,2,1,1992,2,11,1
53596,3,3,1,2001,2,11,0
53871,2,1,2,1952,1,3,1
53871,2,2,1,1952,1,3,1
53997,2,1,2,1934,4,3,1
53997,2,2,1,1966,3,3,1
54143,3,1,2,1937,1,3,1
54143,3,2,1,1931,1,3,1
54143,3,3,2,1969,2,3,1
55147,2,1,2,1945,1,9,1
55147,2,2,1,1929,1,9,1
55308,1,1,2,1929,4,13,1
55425,1,1,1,1969,2,15,1
55430,2,1,1,1960,2,15,0
55430,2,2,2,1930,4,15,1
55636,4,1,2,1958,1,15,1
55636,4,2,1,1955,1,15,1
55636,4,3,2,1924,4,15,1
55636,4,4,1,1996,2,15,0
55774,3,1,2,1953,4,17,1
55774,3,2,1,1974,2,17,1
55774,3,3,1,1981,2,17,0
56251,3,1,2,1932,4,12,1
56251,3,2,2,1965,4,12,1
56251,3,3,1,1990,2,12,0
56465,2,1,1,1950,1,10,1
56465,2,2,2,1954,1,10,0
56563,2,1,1,1935,1,10,1
56563,2,2,2,1937,1,10,1
56582,3,1,2,1963,1,10,1
56582,3,2,1,1956,1,10,1
56582,3,3,2,1991,2,10,0
56603,2,1,2,1968,1,10,1
56603,2,2,1,1964,1,10,1
56624,2,1,1,1950,1,10,1
56624,2,2,2,1944,1,10,1
56658,2,1,1,1964,2,10,1
56658,2,2,2,1937,4,10,1
56677,2,1,2,1930,1,10,1
56677,2,2,1,1936,1,10,1
56721,3,1,2,1959,1,10,1
56721,3,2,1,1955,1,10,1
56721,3,3,2,1925,4,10,1
56761,6,1,2,1970,1,10,1
56761,6,2,1,1969,1,10,1
56761,6,3,1,2003,2,10,0
56761,6,4,1,2005,2,10,0
56761,6,5,1,1941,1,10,1
56761,6,6,2,1947,1,10,1
56762,2,1,1,1943,1,10,1
56762,2,2,2,1955,1,10,0
57027,4,1,1,1964,1,19,0
57027,4,2,2,1964,1,19,1
57027,4,3,2,1992,2,19,0
57027,4,4,2,1995,2,19,0
57042,2,1,1,1946,1,19,1
57042,2,2,2,1950,1,19,1
57138,1,1,2,1950,4,19,1
57546,2,1,1,1961,1,11,1
57546,2,2,2,1963,1,11,1
57547,3,1,1,1948,1,11,1
57547,3,2,2,1956,1,11,1
57547,3,3,1,1979,2,11,1
57621,2,1,2,1959,1,10,1
57621,2,2,1,1950,1,10,1
57670,1,1,2,1953,3,19,1
57779,2,1,2,1954,1,19,0
57779,2,2,1,1950,1,19,1
57962,2,1,1,1956,1,8,0
57962,2,2,2,1959,1,8,1
58366,1,1,2,1944,4,9,1
60078,3,1,1,1957,1,15,1
60078,3,2,2,1964,1,15,0
60078,3,3,1,2001,2,15,0
91067,3,1,1,1952,3,11,1
91067,3,2,2,1986,2,11,0
91067,3,3,1,2015,2,11,0
91071,4,1,2,1970,1,3,1
91071,4,2,1,1969,1,3,1
91071,4,3,1,1999,2,3,0
91071,4,4,1,2002,2,3,0
91074,3,1,2,1973,3,8,1
91074,3,2,1,1996,2,8,0
91074,3,3,2,2003,2,8,0
91079,3,1,2,1963,1,10,1
91079,3,2,1,1964,1,10,1
91079,3,3,1,1998,2,10,0
91081,3,1,1,1965,1,11,1
91081,3,2,2,1969,1,11,1
91081,3,3,1,1999,2,11,0
91095,3,1,1,1960,1,9,1
91095,3,2,2,1963,1,9,0
91095,3,3,2,2003,2,9,0
111052,2,1,2,1941,1,20,1
111052,2,2,1,1935,1,20,1
138399,1,1,1,1943,4,8,1
145007,4,1,1,1954,1,20,1
145007,4,2,2,1956,1,20,0
145007,4,3,1,1989,2,20,1
145007,4,4,1,1991,2,20,0
178001,1,1,1,1947,3,12,1
193016,1,1,1,1933,2,10,1
213440,2,1,1,1947,1,7,1
213440,2,2,2,1947,1,7,0
224048,1,1,2,1934,4,7,1
230029,2,1,1,1943,1,3,1
230029,2,2,2,1946,1,3,1
230037,2,1,1,1948,1,3,1
230037,2,2,2,1948,1,3,1
237003,2,1,1,1948,1,19,1
237003,2,2,2,1944,1,19,1
243067,3,1,2,1962,1,8,1
243067,3,2,1,1962,1,8,1
243067,3,3,2,1994,2,8,1
244013,2,1,2,1946,1,20,1
244013,2,2,1,1946,1,20,1
244058,3,1,2,1964,1,20,0
244058,3,2,1,1964,1,20,1
244058,3,3,2,1998,2,20,0
250005,2,1,2,1949,1,19,1
250005,2,2,1,1944,1,19,1
250010,2,1,2,1946,1,19,1
250010,2,2,1,1980,2,19,0
250039,1,1,2,1951,4,19,1
256015,6,1,2,1972,1,19,0
256015,6,2,1,1965,1,19,1
256015,6,3,2,1994,2,19,0
256015,6,4,1,1996,2,19,0
256015,6,5,2,1997,2,19,0
256015,6,6,2,2008,2,19,0
279054,1,1,1,1935,4,15,1
282083,1,1,2,1940,3,20,1
282089,2,1,2,1954,1,20,0
282089,2,2,1,1950,1,20,1
284086,3,1,2,1943,3,20,1
284086,3,2,1,1976,2,20,0
284086,3,3,1,1934,1,20,1
310002,2,1,2,1946,1,20,0
310002,2,2,1,1938,1,20,1
310005,1,1,2,1947,4,20,1
321009,2,1,1,1933,1,8,1
321009,2,2,2,1936,1,8,1
330057,1,1,2,1931,4,1,1
332080,2,1,1,1946,1,11,1
332080,2,2,2,1955,1,11,1
333081,2,1,1,1935,1,5,1
333081,2,2,2,1934,1,5,0
355063,1,1,2,1943,4,3,1
365034,2,1,1,1947,1,15,1
365034,2,2,2,1950,1,15,0
387029,2,1,1,1945,1,5,1
387029,2,2,2,1948,1,5,0
389084,2,1,2,1955,1,12,0
389084,2,2,1,1956,1,12,1
500001,2,1,2,1947,1,1,0
500001,2,2,1,1944,1,1,1
500004,4,1,2,1940,4,1,1
500004,4,2,1,1967,2,1,1
500004,4,3,1,1967,2,1,1
500004,4,4,2,1968,2,1,1
500026,2,1,1,1956,1,1,1
500026,2,2,2,1959,1,1,1
500090,2,1,1,1932,1,1,1
500090,2,2,2,1939,1,1,0
500176,3,1,2,1948,1,1,0
500176,3,2,1,1947,1,1,1
500176,3,3,1,1990,2,1,0
500669,2,1,1,1964,1,1,1
500669,2,2,2,1967,1,1,1
500674,2,1,2,1939,1,1,1
500674,2,2,1,1937,1,1,1
500726,2,1,2,1969,1,1,1
500726,2,2,1,1966,1,1,1
501068,2,1,1,1953,1,2,1
501068,2,2,2,1960,1,2,0
501082,2,1,1,1955,1,2,1
501082,2,2,2,1958,1,2,0
501627,1,1,2,1932,4,7,1
501694,3,1,1,1952,1,7,1
501694,3,2,2,1957,1,7,1
501694,3,3,1,1985,2,7,0
501816,3,1,2,1935,4,7,1
501816,3,2,1,1959,2,7,1
501816,3,3,2,1963,2,7,1
501874,2,1,1,1945,1,7,1
501874,2,2,2,1978,2,7,1
502060,1,1,1,1958,2,3,1
502355,3,1,2,1962,1,3,0
502355,3,2,1,1961,1,3,1
502355,3,3,1,1990,2,3,1
502364,1,1,2,1933,4,3,1
502772,3,1,1,1941,1,3,1
502772,3,2,2,1960,1,3,0
502772,3,3,1,1997,2,3,0
503560,2,1,1,1954,1,3,1
503560,2,2,2,1960,1,3,1
503561,2,1,1,1947,1,3,1
503561,2,2,2,1949,1,3,1
503593,1,1,1,1952,1,3,1
503674,3,1,1,1948,1,3,1
503674,3,2,2,1955,1,3,1
503674,3,3,1,1980,2,3,1
503788,2,1,1,1933,1,3,1
503788,2,2,2,1944,1,3,1
503931,2,1,2,1953,1,3,1
503931,2,2,1,1947,1,3,1
503950,3,1,2,1969,1,3,1
503950,3,2,1,1968,1,3,1
503950,3,3,2,2001,2,3,0
503981,1,1,2,1933,4,3,1
504091,2,1,1,1932,1,3,1
504091,2,2,2,1939,1,3,1
504157,1,1,1,1960,2,3,1
504363,1,1,1,1944,1,4,1
504380,1,1,2,1933,2,4,1
504395,4,1,2,1959,4,4,1
504395,4,2,2,1992,2,4,1
504395,4,3,2,2000,2,4,0
504395,4,4,1,1965,2,4,1
504453,3,1,1,1967,1,5,1
504453,3,2,2,1967,1,5,1
504453,3,3,2,1995,2,5,0
504551,1,1,2,1932,4,5,1
504584,1,1,2,1957,4,5,1
504730,2,1,1,1943,1,5,1
504730,2,2,2,1942,1,5,1
504792,2,1,1,1947,1,5,1
504792,2,2,2,1946,1,5,1
504821,3,1,1,1963,1,5,1
504821,3,2,2,1966,1,5,1
504821,3,3,1,2003,2,5,0
504885,1,1,2,1941,3,5,1
504889,2,1,1,1950,1,5,1
504889,2,2,2,1952,1,5,0
504921,3,1,2,1964,1,5,1
504921,3,2,1,1967,1,5,1
504921,3,3,2,1997,2,5,0
504937,4,1,1,1967,1,5,1
504937,4,2,2,1968,1,5,0
504937,4,3,2,1997,2,5,0
504937,4,4,2,2001,2,5,0
505022,2,1,1,1953,1,5,1
505022,2,2,2,1949,1,5,0
505167,2,1,1,1934,1,5,1
505167,2,2,2,1934,1,5,1
505228,3,1,2,1953,4,6,1
505228,3,2,1,1984,2,6,1
505228,3,3,2,1989,2,6,0
505243,2,1,1,1946,1,6,1
505243,2,2,2,1948,1,6,1
505390,3,1,1,1964,1,6,1
505390,3,2,2,1964,1,6,1
505390,3,3,2,1994,2,6,0
505407,1,1,2,1933,4,6,1
505424,4,1,1,1966,1,6,1
505424,4,2,2,1970,1,6,1
505424,4,3,2,1996,2,6,0
505424,4,4,2,2001,2,6,0
505517,2,1,1,1946,1,8,1
505517,2,2,2,1942,1,8,1
505525,2,1,1,1945,1,8,1
505525,2,2,2,1949,1,8,1
505534,3,1,1,1950,1,8,1
505534,3,2,2,1962,1,8,0
505534,3,3,1,1993,2,8,0
505540,1,1,2,1925,4,8,1
505576,2,1,1,1930,1,8,1
505576,2,2,2,1938,1,8,1
505594,2,1,1,1948,1,8,1
505594,2,2,2,1954,1,8,1
505606,2,1,2,1951,4,8,1
505606,2,2,2,1987,2,8,0
505655,2,1,1,1951,1,8,1
505655,2,2,2,1953,1,8,0
505672,2,1,1,1944,1,8,1
505672,2,2,2,1946,1,8,1
505681,1,1,2,1938,4,8,1
505768,2,1,2,1964,1,8,1
505768,2,2,1,1960,1,8,1
505771,2,1,1,1932,1,8,1
505771,2,2,2,1938,1,8,0
505806,2,1,2,1927,4,8,1
505806,2,2,1,1956,2,8,1
505810,4,1,1,1945,1,8,1
505810,4,2,2,1958,1,8,1
505810,4,3,1,1981,2,8,1
505810,4,4,1,1991,2,8,0
505818,4,1,1,1960,1,8,1
